date,total_kwh,peak_hour_kwh,off_peak_kwh,energy_efficiency_score
2025-06-01,121.48,70.15,51.33,0.7501
2025-06-02,124.38,72.01,52.37,0.6006
2025-06-03,129.7,83.67,46.03,0.7284
2025-06-04,114.41,71.84,42.57,0.5731
2025-06-05,109.59,75.43,34.16,0.7941
2025-06-06,111.16,74.54,36.62,0.7554
2025-06-07,105.41,61.78,43.63,0.704
2025-06-08,86.55,58.72,27.83,0.0
2025-06-09,128.88,84.91,43.97,0.5935
2025-06-10,118.42,76.64,41.78,0.731
2025-06-11,137.4,82.05,55.35,0.7342
2025-06-12,132.8,74.51,58.29,0.8259
2025-06-13,127.85,81.6,46.25,0.7666
2025-06-14,122.18,83.29,38.89,0.7389
2025-06-15,126.2,70.22,55.98,0.561
2025-06-16,124.9,74.99,49.91,0.4863
2025-06-17,103.86,59.74,44.12,0.8387
2025-06-18,107.02,67.54,39.48,0.6649
2025-06-19,149.0,99.64,49.36,0.7194
2025-06-20,141.36,87.06,54.3,0.592
2025-06-21,129.35,72.51,56.84,0.5451
2025-06-22,121.44,83.29,38.15,0.6003
2025-06-23,110.18,60.8,49.38,0.6625
2025-06-24,97.05,60.97,36.08,0.7433
2025-06-25,123.25,77.54,45.71,0.8784
2025-06-26,127.99,71.91,56.08,0.8395
2025-06-27,122.48,69.32,53.16,0.8621
2025-06-28,122.81,68.08,54.73,0.6936
2025-06-29,121.33,79.88,41.45,0.5934
2025-06-30,118.88,77.37,41.51,0.7865
