transaction_id,timestamp,amount_sar,payment_method,item_category,staff_id
CAFE-20250601-0001,2025-06-01 00:00:56,33.2,credit,specialty_drinks,STF03
CAFE-20250601-0002,2025-06-01 05:38:05,55.11,mada,combo_meals,STF01
CAFE-20250601-0003,2025-06-01 06:22:36,23.56,mada,coffee_drinks,STF03
CAFE-20250601-0004,2025-06-01 06:29:41,36.74,credit,combo_meals,STF06
CAFE-20250601-0005,2025-06-01 06:55:16,43.04,mada,specialty_drinks,STF01
CAFE-20250601-0006,2025-06-01 06:56:51,29.61,mada,specialty_drinks,STF03
CAFE-20250601-0007,2025-06-01 07:07:26,23.73,mada,specialty_drinks,STF01
CAFE-20250601-0008,2025-06-01 07:15:40,14.71,mada,coffee_drinks,STF06
CAFE-20250601-0009,2025-06-01 07:19:23,57.8,mada,combo_meals,STF06
CAFE-20250601-0010,2025-06-01 07:21:10,16.07,mada,coffee_drinks,STF02
CAFE-20250601-0011,2025-06-01 07:31:31,62.88,cash,combo_meals,STF05
CAFE-20250601-0012,2025-06-01 07:41:43,18.72,mada,coffee_drinks,STF05
CAFE-20250601-0013,2025-06-01 07:56:52,12.08,mada,coffee_drinks,STF04
CAFE-20250601-0014,2025-06-01 07:57:54,43.97,cash,food_items,STF04
CAFE-20250601-0015,2025-06-01 08:03:32,22.64,mada,specialty_drinks,STF06
CAFE-20250601-0016,2025-06-01 08:06:58,14.48,credit,coffee_drinks,STF06
CAFE-20250601-0017,2025-06-01 08:10:55,19.13,mada,food_items,STF06
CAFE-20250601-0018,2025-06-01 08:22:30,20.59,mada,coffee_drinks,STF05
CAFE-20250601-0019,2025-06-01 08:31:54,27.44,mada,coffee_drinks,STF06
CAFE-20250601-0020,2025-06-01 08:43:19,20.5,mada,coffee_drinks,STF04
CAFE-20250601-0021,2025-06-01 08:47:19,27.51,cash,coffee_drinks,STF03
CAFE-20250601-0022,2025-06-01 08:58:50,45.83,mada,combo_meals,STF02
CAFE-20250601-0023,2025-06-01 08:59:48,27.4,cash,coffee_drinks,STF01
CAFE-20250601-0024,2025-06-01 09:00:18,37.33,credit,combo_meals,STF02
CAFE-20250601-0025,2025-06-01 09:04:51,13.5,mada,coffee_drinks,STF05
CAFE-20250601-0026,2025-06-01 09:17:01,27.28,cash,coffee_drinks,STF05
CAFE-20250601-0027,2025-06-01 09:27:56,33.53,mada,food_items,STF03
CAFE-20250601-0028,2025-06-01 09:29:37,35.58,mada,combo_meals,STF05
CAFE-20250601-0029,2025-06-01 09:31:32,16.98,credit,coffee_drinks,STF05
CAFE-20250601-0030,2025-06-01 09:35:37,21.62,mada,food_items,STF04
CAFE-20250601-0031,2025-06-01 09:53:34,18.94,mada,coffee_drinks,STF02
CAFE-20250601-0032,2025-06-01 09:58:53,42.39,mada,specialty_drinks,STF02
CAFE-20250601-0033,2025-06-01 10:19:59,36.62,credit,food_items,STF05
CAFE-20250601-0034,2025-06-01 10:24:49,59.63,credit,combo_meals,STF02
CAFE-20250601-0035,2025-06-01 10:25:47,21.37,credit,coffee_drinks,STF04
CAFE-20250601-0036,2025-06-01 10:27:43,22.29,mada,coffee_drinks,STF03
CAFE-20250601-0037,2025-06-01 11:53:55,60.04,cash,combo_meals,STF02
CAFE-20250601-0038,2025-06-01 12:03:54,16.38,mada,coffee_drinks,STF06
CAFE-20250601-0039,2025-06-01 12:05:27,13.51,cash,coffee_drinks,STF01
CAFE-20250601-0040,2025-06-01 12:13:20,50.42,cash,combo_meals,STF06
CAFE-20250601-0041,2025-06-01 12:15:02,46.27,mada,combo_meals,STF05
CAFE-20250601-0042,2025-06-01 12:27:53,26.99,mada,coffee_drinks,STF01
CAFE-20250601-0043,2025-06-01 12:32:08,46.28,mada,combo_meals,STF01
CAFE-20250601-0044,2025-06-01 12:32:50,39.31,cash,food_items,STF04
CAFE-20250601-0045,2025-06-01 12:34:06,24.42,mada,coffee_drinks,STF06
CAFE-20250601-0046,2025-06-01 12:34:47,26.83,cash,food_items,STF01
CAFE-20250601-0047,2025-06-01 12:36:48,18.04,mada,coffee_drinks,STF04
CAFE-20250601-0048,2025-06-01 12:37:23,47.8,credit,combo_meals,STF01
CAFE-20250601-0049,2025-06-01 12:41:44,27.34,cash,coffee_drinks,STF01
CAFE-20250601-0050,2025-06-01 12:51:48,27.2,credit,coffee_drinks,STF03
CAFE-20250601-0051,2025-06-01 12:59:15,21.08,mada,food_items,STF04
CAFE-20250601-0052,2025-06-01 12:59:58,22.76,cash,coffee_drinks,STF01
CAFE-20250601-0053,2025-06-01 13:06:02,26.89,credit,coffee_drinks,STF06
CAFE-20250601-0054,2025-06-01 13:08:36,34.34,credit,food_items,STF03
CAFE-20250601-0055,2025-06-01 13:18:25,73.75,cash,combo_meals,STF02
CAFE-20250601-0056,2025-06-01 13:21:45,21.74,mada,food_items,STF05
CAFE-20250601-0057,2025-06-01 13:40:32,18.35,credit,coffee_drinks,STF02
CAFE-20250601-0058,2025-06-01 13:51:11,13.36,credit,coffee_drinks,STF05
CAFE-20250601-0059,2025-06-01 14:00:10,25.0,credit,coffee_drinks,STF01
CAFE-20250601-0060,2025-06-01 14:01:01,30.96,cash,food_items,STF03
