date,total_kwh,peak_hour_kwh,off_peak_kwh,energy_efficiency_score
2025-06-01,200.23,122.37,77.86,0.533
2025-06-02,249.34,175.75,73.59,0.4292
2025-06-03,266.41,190.47,75.94,0.576
2025-06-04,219.86,139.6,80.26,0.6194
2025-06-05,211.89,151.75,60.14,0.5984
2025-06-06,320.9,211.75,109.15,0.7353
2025-06-07,288.38,195.94,92.44,0.7013
2025-06-08,329.23,198.65,130.58,0.4992
2025-06-09,236.95,142.36,94.59,0.7069
2025-06-10,247.57,158.85,88.72,0.4349
2025-06-11,348.46,243.63,104.83,0.6002
2025-06-12,331.58,229.87,101.71,0.6299
2025-06-13,237.41,162.97,74.44,0.5994
2025-06-14,308.61,205.29,103.32,0.7347
2025-06-15,294.05,196.67,97.38,0.695
2025-06-16,256.89,163.87,93.02,0.5761
2025-06-17,287.67,180.21,107.46,0.6388
2025-06-18,320.36,214.41,105.95,0.8865
2025-06-19,353.26,243.94,109.32,0.5681
2025-06-20,313.81,200.97,112.84,0.4209
2025-06-21,230.59,140.55,90.04,0.5779
2025-06-22,293.31,189.38,103.93,0.5856
2025-06-23,212.82,147.36,65.46,0.4115
2025-06-24,295.16,192.44,102.72,0.4643
2025-06-25,278.46,193.17,85.29,0.5447
2025-06-26,267.91,165.33,102.58,0.6081
2025-06-27,340.41,227.18,113.23,0.4578
2025-06-28,299.18,180.59,118.59,0.6933
2025-06-29,338.22,227.16,111.06,0.7086
2025-06-30,212.68,133.44,79.24,0.511
