date,total_kwh,peak_hour_kwh,off_peak_kwh,energy_efficiency_score
2025-06-01,211.25,131.48,79.77,0.4425
2025-06-02,157.88,109.09,48.79,0.5475
2025-06-03,157.42,105.57,51.85,0.3653
2025-06-04,159.17,103.32,55.85,0.2736
2025-06-05,169.66,107.26,62.4,0.7517
2025-06-06,202.75,121.87,80.88,0.6459
2025-06-07,194.74,124.74,70.0,0.3017
2025-06-08,172.85,109.13,63.72,0.5025
2025-06-09,155.82,95.38,60.44,0.4014
2025-06-10,195.71,130.04,65.67,0.5699
2025-06-11,180.16,104.93,75.23,0.4186
2025-06-12,180.19,118.86,61.33,0.752
2025-06-13,193.86,119.93,73.93,0.8753
2025-06-14,233.86,140.49,93.37,0.6153
2025-06-15,118.6,75.67,42.93,0.5906
2025-06-16,168.84,116.46,52.38,0.528
2025-06-17,191.82,117.32,74.5,0.6035
2025-06-18,173.28,102.39,70.89,0.6373
2025-06-19,225.51,140.54,84.97,0.6404
2025-06-20,178.95,112.64,66.31,0.8621
2025-06-21,150.64,92.88,57.76,0.6281
2025-06-22,192.6,125.86,66.74,0.9252
2025-06-23,147.9,99.33,48.57,0.7426
2025-06-24,148.08,88.87,59.21,0.366
2025-06-25,169.9,115.44,54.46,0.2131
2025-06-26,177.29,109.51,67.78,0.7136
2025-06-27,193.45,120.38,73.07,0.7589
2025-06-28,192.12,115.16,76.96,0.15
2025-06-29,149.37,90.68,58.69,0.4727
2025-06-30,163.1,100.21,62.89,0.6115
