transaction_id,timestamp,amount_sar,payment_method,machine_id,cycle_type
TXN-20250601-0001,2025-06-01 00:13:02,21.72,cash,M03,quick_wash
TXN-20250601-0002,2025-06-01 00:39:21,23.03,mada,M02,quick_wash
TXN-20250601-0003,2025-06-01 02:01:52,33.04,mada,M01,standard
TXN-20250601-0004,2025-06-01 02:28:35,20.08,cash,M03,quick_wash
TXN-20250601-0005,2025-06-01 03:27:53,35.16,mada,M03,standard
TXN-20250601-0006,2025-06-01 04:27:01,48.72,mada,M01,heavy_duty
TXN-20250601-0007,2025-06-01 06:00:04,30.8,credit,M01,standard
TXN-20250601-0008,2025-06-01 06:40:02,36.03,mada,M07,standard
TXN-20250601-0009,2025-06-01 07:26:08,46.45,cash,M02,heavy_duty
TXN-20250601-0010,2025-06-01 07:54:22,86.16,mada,M01,dry_clean
TXN-20250601-0011,2025-06-01 08:11:33,23.97,credit,M03,quick_wash
TXN-20250601-0012,2025-06-01 08:57:40,17.79,cash,M08,quick_wash
TXN-20250601-0013,2025-06-01 08:59:12,62.18,cash,M08,heavy_duty
TXN-20250601-0014,2025-06-01 09:01:01,63.39,cash,M08,heavy_duty
TXN-20250601-0015,2025-06-01 09:25:41,25.14,mada,M03,standard
TXN-20250601-0016,2025-06-01 09:26:56,69.87,mada,M02,dry_clean
TXN-20250601-0017,2025-06-01 09:27:24,34.78,mada,M01,standard
TXN-20250601-0018,2025-06-01 09:29:10,19.94,mada,M08,quick_wash
TXN-20250601-0019,2025-06-01 09:41:44,37.74,cash,M01,standard
TXN-20250601-0020,2025-06-01 09:43:25,32.63,cash,M06,standard
TXN-20250601-0021,2025-06-01 10:55:16,24.73,mada,M06,quick_wash
TXN-20250601-0022,2025-06-01 10:56:52,80.41,mada,M01,dry_clean
TXN-20250601-0023,2025-06-01 11:00:18,32.39,mada,M05,standard
TXN-20250601-0024,2025-06-01 11:23:14,33.58,cash,M08,standard
TXN-20250601-0025,2025-06-01 11:58:48,24.4,credit,M05,quick_wash
