date,total_kwh,peak_hour_kwh,off_peak_kwh,energy_efficiency_score
2025-06-01,188.16,95.37,92.79,0.5394
2025-06-02,186.96,97.27,89.69,0.6974
2025-06-03,181.14,97.49,83.65,0.7869
2025-06-04,180.87,94.58,86.29,0.6851
2025-06-05,177.36,96.28,81.08,0.9228
2025-06-06,171.86,88.31,83.55,0.8823
2025-06-07,188.19,98.69,89.5,0.8254
2025-06-08,202.66,108.17,94.49,0.4993
2025-06-09,149.2,80.96,68.24,0.6746
2025-06-10,167.68,89.6,78.08,0.5979
2025-06-11,163.76,89.79,73.97,0.7464
2025-06-12,175.83,96.63,79.2,0.9086
2025-06-13,217.09,113.95,103.14,0.8739
2025-06-14,191.35,100.84,90.51,0.7689
2025-06-15,191.54,96.23,95.31,0.7104
2025-06-16,184.13,97.18,86.95,0.607
2025-06-17,194.32,102.79,91.53,0.669
2025-06-18,179.62,91.9,87.72,0.7286
2025-06-19,172.98,87.41,85.57,0.9661
2025-06-20,189.53,100.79,88.74,0.8941
2025-06-21,162.31,83.06,79.25,0.8081
2025-06-22,190.27,98.98,91.29,0.7568
2025-06-23,142.78,76.03,66.75,0.7458
2025-06-24,205.59,109.71,95.88,0.7599
2025-06-25,163.29,83.45,79.84,0.7751
2025-06-26,206.22,112.61,93.61,0.8609
2025-06-27,184.73,99.94,84.79,0.8668
2025-06-28,208.36,107.15,101.21,0.7187
2025-06-29,194.56,104.68,89.88,0.8039
2025-06-30,171.45,90.18,81.27,0.619
