transaction_id,timestamp,amount_sar,payment_method,basket_size,category
MINI-20250601-0001,2025-06-01 00:27:40,81.56,mada,medium_basket,groceries
MINI-20250601-0002,2025-06-01 00:44:53,14.96,mada,small_basket,household
MINI-20250601-0003,2025-06-01 01:13:02,19.57,cash,small_basket,personal_care
MINI-20250601-0004,2025-06-01 01:27:42,353.34,mada,large_basket,groceries
MINI-20250601-0005,2025-06-01 05:03:03,15.88,mada,small_basket,snacks
MINI-20250601-0006,2025-06-01 05:50:19,15.3,mada,small_basket,household
MINI-20250601-0007,2025-06-01 06:01:59,24.92,mada,small_basket,beverages
MINI-20250601-0008,2025-06-01 06:36:59,27.72,mada,small_basket,personal_care
MINI-20250601-0009,2025-06-01 06:56:34,142.74,mada,medium_basket,beverages
MINI-20250601-0010,2025-06-01 07:17:56,27.38,cash,small_basket,beverages
MINI-20250601-0011,2025-06-01 07:18:19,157.39,cash,medium_basket,groceries
MINI-20250601-0012,2025-06-01 07:24:41,55.84,cash,medium_basket,beverages
MINI-20250601-0013,2025-06-01 07:26:07,39.9,cash,small_basket,beverages
MINI-20250601-0014,2025-06-01 07:29:24,27.88,credit,small_basket,beverages
MINI-20250601-0015,2025-06-01 07:34:02,216.84,cash,large_basket,personal_care
MINI-20250601-0016,2025-06-01 07:36:19,57.29,cash,medium_basket,household
MINI-20250601-0017,2025-06-01 07:58:19,147.76,cash,medium_basket,household
MINI-20250601-0018,2025-06-01 08:09:58,22.96,cash,small_basket,snacks
MINI-20250601-0019,2025-06-01 08:37:37,27.81,mada,small_basket,groceries
MINI-20250601-0020,2025-06-01 08:50:23,126.82,mada,medium_basket,personal_care
MINI-20250601-0021,2025-06-01 09:15:27,175.34,mada,medium_basket,beverages
MINI-20250601-0022,2025-06-01 09:16:56,20.39,cash,small_basket,personal_care
MINI-20250601-0023,2025-06-01 09:19:41,43.87,cash,small_basket,personal_care
MINI-20250601-0024,2025-06-01 09:27:18,97.52,cash,medium_basket,beverages
MINI-20250601-0025,2025-06-01 09:34:19,227.85,mada,large_basket,beverages
MINI-20250601-0026,2025-06-01 09:37:33,23.7,mada,small_basket,snacks
MINI-20250601-0027,2025-06-01 09:41:28,93.93,mada,medium_basket,beverages
MINI-20250601-0028,2025-06-01 09:45:48,145.73,mada,medium_basket,groceries
MINI-20250601-0029,2025-06-01 09:46:09,21.33,mada,small_basket,personal_care
MINI-20250601-0030,2025-06-01 09:50:59,26.57,cash,small_basket,groceries
MINI-20250601-0031,2025-06-01 10:16:17,118.86,mada,medium_basket,personal_care
MINI-20250601-0032,2025-06-01 10:21:40,40.68,cash,small_basket,household
MINI-20250601-0033,2025-06-01 10:28:57,400.75,cash,large_basket,personal_care
MINI-20250601-0034,2025-06-01 10:30:27,28.25,mada,small_basket,groceries
MINI-20250601-0035,2025-06-01 10:33:31,53.06,mada,medium_basket,personal_care
MINI-20250601-0036,2025-06-01 10:40:57,18.45,cash,small_basket,beverages
MINI-20250601-0037,2025-06-01 10:42:47,113.3,cash,medium_basket,household
MINI-20250601-0038,2025-06-01 10:49:40,30.51,cash,small_basket,beverages
MINI-20250601-0039,2025-06-01 10:52:02,8.13,cash,small_basket,groceries
MINI-20250601-0040,2025-06-01 10:55:43,153.57,cash,medium_basket,groceries
MINI-20250601-0041,2025-06-01 11:04:04,81.41,cash,medium_basket,household
MINI-20250601-0042,2025-06-01 11:11:46,41.49,mada,small_basket,snacks
MINI-20250601-0043,2025-06-01 11:26:07,17.75,mada,small_basket,groceries
MINI-20250601-0044,2025-06-01 11:26:14,138.61,cash,medium_basket,groceries
MINI-20250601-0045,2025-06-01 11:26:37,32.39,mada,small_basket,household
MINI-20250601-0046,2025-06-01 11:35:26,60.48,cash,medium_basket,household
MINI-20250601-0047,2025-06-01 11:43:47,65.94,mada,medium_basket,beverages
MINI-20250601-0048,2025-06-01 12:01:37,16.43,cash,small_basket,household
MINI-20250601-0049,2025-06-01 12:09:51,75.5,credit,medium_basket,groceries
MINI-20250601-0050,2025-06-01 12:15:33,175.5,cash,medium_basket,snacks
MINI-20250601-0051,2025-06-01 12:16:44,74.36,mada,medium_basket,groceries
MINI-20250601-0052,2025-06-01 12:19:46,33.22,mada,small_basket,personal_care
MINI-20250601-0053,2025-06-01 12:28:50,25.76,credit,small_basket,groceries
MINI-20250601-0054,2025-06-01 12:33:40,146.94,mada,medium_basket,beverages
MINI-20250601-0055,2025-06-01 12:39:38,36.56,cash,small_basket,beverages
MINI-20250601-0056,2025-06-01 12:41:09,76.75,cash,medium_basket,snacks
MINI-20250601-0057,2025-06-01 12:41:29,391.59,mada,large_basket,snacks
MINI-20250601-0058,2025-06-01 12:43:10,31.63,mada,small_basket,snacks
MINI-20250601-0059,2025-06-01 12:44:33,146.71,mada,medium_basket,personal_care
MINI-20250601-0060,2025-06-01 13:02:36,135.69,mada,medium_basket,beverages
MINI-20250601-0061,2025-06-01 13:05:10,25.45,mada,small_basket,groceries
MINI-20250601-0062,2025-06-01 13:21:21,16.51,mada,small_basket,snacks
MINI-20250601-0063,2025-06-01 13:23:09,98.56,cash,medium_basket,household
MINI-20250601-0064,2025-06-01 13:44:32,228.25,mada,large_basket,snacks
MINI-20250601-0065,2025-06-01 13:51:05,8.83,mada,small_basket,groceries
MINI-20250601-0066,2025-06-01 13:53:32,255.3,credit,large_basket,snacks
MINI-20250601-0067,2025-06-01 14:00:15,49.48,mada,medium_basket,beverages
MINI-20250601-0068,2025-06-01 14:04:06,30.43,mada,small_basket,snacks
MINI-20250601-0069,2025-06-01 14:09:18,138.65,cash,medium_basket,groceries
MINI-20250601-0070,2025-06-01 14:13:25,11.97,mada,small_basket,beverages
MINI-20250601-0071,2025-06-01 14:29:08,23.66,credit,small_basket,groceries
MINI-20250601-0072,2025-06-01 14:36:53,58.35,mada,medium_basket,beverages
MINI-20250601-0073,2025-06-01 14:51:23,285.63,mada,large_basket,beverages
MINI-20250601-0074,2025-06-01 14:55:44,16.51,cash,small_basket,groceries
MINI-20250601-0075,2025-06-01 14:56:30,30.55,mada,small_basket,groceries
MINI-20250601-0076,2025-06-01 15:17:29,279.12,cash,large_basket,groceries
MINI-20250601-0077,2025-06-01 15:19:53,22.37,mada,small_basket,groceries
MINI-20250601-0078,2025-06-01 15:29:45,40.91,cash,small_basket,groceries
MINI-20250601-0079,2025-06-01 15:31:18,165.45,cash,medium_basket,groceries
MINI-20250601-0080,2025-06-01 15:31:34,261.42,mada,large_basket,beverages
MINI-20250601-0081,2025-06-01 15:48:21,431.53,credit,large_basket,groceries
MINI-20250601-0082,2025-06-01 15:59:29,194.68,mada,large_basket,beverages
MINI-20250601-0083,2025-06-01 16:19:15,30.37,mada,small_basket,snacks
MINI-20250601-0084,2025-06-01 16:45:40,18.14,credit,small_basket,groceries
