date,total_kwh,peak_hour_kwh,off_peak_kwh,energy_efficiency_score
2025-06-01,119.63,83.15,36.48,0.0
2025-06-02,91.06,61.08,29.98,0.0
2025-06-03,114.09,78.14,35.95,0.2762
2025-06-04,102.39,61.85,40.54,0.3662
2025-06-05,110.31,64.5,45.81,0.211
2025-06-06,138.67,81.84,56.83,0.0
2025-06-07,142.87,86.35,56.52,0.0
2025-06-08,131.43,85.77,45.66,0.0
2025-06-09,102.52,60.29,42.23,0.0
2025-06-10,86.68,52.96,33.72,0.0
2025-06-11,81.25,53.0,28.25,0.0
2025-06-12,122.1,84.38,37.72,0.4314
2025-06-13,89.43,60.15,29.28,0.0
2025-06-14,90.97,53.58,37.39,0.0
2025-06-15,106.18,70.83,35.35,0.1329
2025-06-16,94.09,54.14,39.95,0.4301
2025-06-17,103.6,61.21,42.39,0.0
2025-06-18,102.64,60.56,42.08,0.0
2025-06-19,136.5,87.26,49.24,0.4538
2025-06-20,135.11,87.18,47.93,0.0
2025-06-21,117.29,66.28,51.01,0.1514
2025-06-22,127.75,76.76,50.99,0.1712
2025-06-23,130.03,78.02,52.01,0.9272
2025-06-24,143.08,90.05,53.03,0.0532
2025-06-25,88.21,52.31,35.9,0.1845
2025-06-26,106.83,71.4,35.43,0.0
2025-06-27,116.56,80.83,35.73,0.4641
2025-06-28,137.18,94.85,42.33,0.0
2025-06-29,140.64,96.7,43.94,0.0
2025-06-30,136.71,85.49,51.22,0.0
