date,total_kwh,peak_hour_kwh,off_peak_kwh,energy_efficiency_score
2024-10-01,198.66,138.3,60.36,0.4766
2024-10-02,205.57,113.83,91.74,0.4495
2024-10-03,201.23,141.44,59.79,0.3998
2024-10-04,192.74,134.94,57.8,0.6266
2024-10-05,182.09,118.63,63.46,0.8494
2024-10-06,155.13,91.05,64.08,0.6528
2024-10-07,178.7,90.36,88.34,0.8328
2024-10-08,201.27,103.73,97.54,0.5488
2024-10-09,218.87,152.88,65.99,0.4999
2024-10-10,176.79,105.78,71.01,0.5219
2024-10-11,169.02,93.72,75.3,0.6382
2024-10-12,212.71,127.7,85.01,0.5595
2024-10-13,183.38,129.83,53.55,0.9055
2024-10-14,182.32,128.27,54.05,0.7414
2024-10-15,199.27,116.92,82.35,0.6657
2024-10-16,208.43,124.41,84.02,0.6498
2024-10-17,194.75,111.62,83.13,0.7185
2024-10-18,152.32,79.09,73.23,0.8772
2024-10-19,147.76,83.05,64.71,0.6133
2024-10-20,217.83,154.08,63.75,0.6093
2024-10-21,236.65,137.69,98.96,0.5474
2024-10-22,188.88,97.03,91.85,0.4783
2024-10-23,191.57,137.21,54.36,0.7384
2024-10-24,208.37,125.66,82.71,0.5457
2024-10-25,214.08,141.4,72.68,0.6322
2024-10-26,167.47,111.59,55.88,0.6892
2024-10-27,159.24,107.0,52.24,0.5992
2024-10-28,239.0,149.22,89.78,0.622
2024-10-29,172.04,90.66,81.38,0.5494
2024-10-30,235.67,133.55,102.12,0.6941
2024-10-31,225.15,125.71,99.44,0.6724
2024-11-01,195.41,103.57,91.84,0.6867
2024-11-02,180.92,108.37,72.55,0.4009
2024-11-03,184.17,93.96,90.21,0.7166
2024-11-04,201.73,115.77,85.96,0.5778
2024-11-05,237.88,134.77,103.11,0.5818
2024-11-06,188.66,95.72,92.94,0.4921
2024-11-07,198.56,140.26,58.3,0.9158
2024-11-08,174.36,96.5,77.86,0.7643
2024-11-09,180.15,123.45,56.7,0.7268
2024-11-10,172.43,119.67,52.76,0.5521
2024-11-11,200.46,103.11,97.35,0.6503
2024-11-12,169.76,91.36,78.4,0.6814
2024-11-13,207.41,142.71,64.7,0.6527
2024-11-14,160.69,88.75,71.94,0.5218
2024-11-15,149.27,102.73,46.54,0.6261
2024-11-16,171.41,88.62,82.79,0.5624
2024-11-17,172.53,99.87,72.66,0.5998
2024-11-18,235.84,131.82,104.02,0.7137
2024-11-19,221.53,124.21,97.32,0.7117
2024-11-20,149.08,92.81,56.27,0.7099
2024-11-21,201.41,118.59,82.82,0.5159
2024-11-22,243.77,144.32,99.45,0.6807
2024-11-23,200.66,122.85,77.81,0.579
2024-11-24,189.05,102.68,86.37,0.7719
2024-11-25,161.82,93.3,68.52,0.701
2024-11-26,163.19,92.19,71.0,0.8274
2024-11-27,148.97,100.29,48.68,0.6442
2024-11-28,176.06,112.47,63.59,0.617
2024-11-29,170.58,122.46,48.12,0.6608
2024-11-30,165.74,92.3,73.44,0.6897
2024-12-01,186.54,111.56,74.98,0.7437
2024-12-02,225.25,131.82,93.43,0.7979
2024-12-03,244.51,150.3,94.21,0.7235
2024-12-04,235.37,135.33,100.04,0.5648
2024-12-05,201.56,114.86,86.7,0.547
2024-12-06,139.49,97.29,42.2,0.6566
2024-12-07,190.36,99.46,90.9,0.5355
2024-12-08,160.17,89.52,70.65,0.7807
2024-12-09,147.37,89.13,58.24,0.4676
2024-12-10,208.25,104.54,103.71,0.6072
2024-12-11,217.06,154.38,62.68,0.4316
2024-12-12,175.84,93.3,82.54,0.7037
2024-12-13,183.8,119.79,64.01,0.708
2024-12-14,185.9,113.73,72.17,0.4913
2024-12-15,194.03,98.5,95.53,0.4241
2024-12-16,151.05,88.66,62.39,0.8499
2024-12-17,164.65,103.94,60.71,0.6071
2024-12-18,179.09,94.44,84.65,0.759
2024-12-19,137.31,79.55,57.76,0.5583
2024-12-20,151.42,80.84,70.58,0.7185
2024-12-21,200.36,132.71,67.65,0.4568
2024-12-22,160.98,109.97,51.01,0.7091
2024-12-23,192.74,131.5,61.24,0.5324
2024-12-24,180.57,123.64,56.93,0.7035
2024-12-25,141.87,87.63,54.24,0.762
2024-12-26,227.67,127.84,99.83,0.7937
2024-12-27,192.26,125.55,66.71,0.6886
2024-12-28,219.82,157.63,62.19,0.506
2024-12-29,206.47,140.86,65.61,0.7176
2024-12-30,184.25,129.82,54.43,0.4474
