date,total_kwh,peak_hour_kwh,off_peak_kwh,energy_efficiency_score
2025-04-01,102.3,57.86,44.44,0.7129
2025-04-02,99.29,63.14,36.15,0.6908
2025-04-03,106.06,63.37,42.69,0.7998
2025-04-04,129.47,87.22,42.25,0.8501
2025-04-05,112.92,62.61,50.31,0.7739
2025-04-06,120.06,72.18,47.88,0.5421
2025-04-07,137.07,82.47,54.6,0.7354
2025-04-08,96.84,66.6,30.24,0.6765
2025-04-09,114.7,73.56,41.14,0.7904
2025-04-10,116.99,80.53,36.46,0.8927
2025-04-11,160.26,109.86,50.4,0.7107
2025-04-12,71.05,43.55,27.5,0.0
2025-04-13,100.59,56.4,44.19,0.7894
2025-04-14,94.99,65.57,29.42,0.6723
2025-04-15,127.56,85.45,42.11,0.7524
2025-04-16,106.82,61.06,45.76,0.5896
2025-04-17,152.12,93.69,58.43,0.739
2025-04-18,144.1,83.13,60.97,0.7699
2025-04-19,95.49,53.66,41.83,0.6695
2025-04-20,124.26,81.75,42.51,0.7752
2025-04-21,136.46,84.1,52.36,0.5502
2025-04-22,109.85,61.93,47.92,0.6575
2025-04-23,155.6,107.12,48.48,0.6393
2025-04-24,129.92,85.23,44.69,0.7318
2025-04-25,131.11,74.76,56.35,0.7275
2025-04-26,142.37,81.94,60.43,0.6524
2025-04-27,132.24,91.76,40.48,0.6814
2025-04-28,126.26,87.19,39.07,0.4986
2025-04-29,127.98,75.9,52.08,0.6375
2025-04-30,121.79,77.16,44.63,0.794
2025-05-01,133.74,80.81,52.93,0.6856
2025-05-02,153.42,94.09,59.33,0.7351
2025-05-03,120.58,70.83,49.75,0.6045
2025-05-04,123.65,74.88,48.77,0.7878
2025-05-05,139.77,85.42,54.35,0.7262
2025-05-06,111.84,67.27,44.57,0.5609
2025-05-07,119.3,72.54,46.76,0.7814
2025-05-08,156.38,92.63,63.75,0.7332
2025-05-09,118.1,77.91,40.19,0.7501
2025-05-10,101.68,57.04,44.64,0.6979
2025-05-11,99.8,59.52,40.28,0.6882
2025-05-12,128.89,76.02,52.87,0.7355
2025-05-13,118.09,79.2,38.89,0.6309
2025-05-14,134.27,79.81,54.46,0.7027
2025-05-15,123.9,78.15,45.75,0.6783
2025-05-16,127.5,81.55,45.95,0.792
2025-05-17,123.23,74.18,49.05,0.7638
2025-05-18,118.05,67.01,51.04,0.9346
2025-05-19,128.82,72.35,56.47,0.7519
2025-05-20,99.88,66.62,33.26,0.8005
2025-05-21,103.68,70.23,33.45,0.6396
2025-05-22,104.68,69.77,34.91,0.7935
2025-05-23,95.59,60.05,35.54,0.7975
2025-05-24,126.57,73.66,52.91,0.7085
2025-05-25,127.21,71.16,56.05,0.5869
2025-05-26,107.4,60.23,47.17,0.6946
2025-05-27,132.39,86.91,45.48,0.7314
2025-05-28,119.67,82.48,37.19,0.7873
2025-05-29,104.05,72.56,31.49,0.856
2025-05-30,125.93,84.86,41.07,0.7658
2025-05-31,111.98,63.35,48.63,0.5864
2025-06-01,136.42,76.08,60.34,0.6543
2025-06-02,140.38,97.24,43.14,0.6986
2025-06-03,145.2,82.93,62.27,0.6814
2025-06-04,127.3,75.43,51.87,0.7196
2025-06-05,146.29,97.21,49.08,0.6728
2025-06-06,128.25,71.93,56.32,0.7378
2025-06-07,115.08,77.01,38.07,0.6584
2025-06-08,118.96,70.3,48.66,0.6335
2025-06-09,137.3,86.87,50.43,0.6616
2025-06-10,101.09,58.58,42.51,0.6882
2025-06-11,109.36,69.14,40.22,0.7753
2025-06-12,120.6,79.99,40.61,0.7027
2025-06-13,135.74,81.57,54.17,0.7152
2025-06-14,114.39,67.63,46.76,0.6617
2025-06-15,114.11,79.85,34.26,0.5914
2025-06-16,113.69,71.66,42.03,0.771
2025-06-17,105.95,66.33,39.62,0.6955
2025-06-18,104.81,71.01,33.8,0.6335
2025-06-19,126.59,86.03,40.56,0.785
2025-06-20,133.13,83.61,49.52,0.6148
2025-06-21,121.58,78.36,43.22,0.7232
2025-06-22,111.73,74.79,36.94,0.7531
2025-06-23,124.0,70.49,53.51,0.7571
2025-06-24,117.61,66.89,50.72,0.7048
2025-06-25,120.61,70.83,49.78,0.9185
2025-06-26,116.11,79.96,36.15,0.7853
2025-06-27,135.52,80.69,54.83,0.5977
2025-06-28,130.17,89.19,40.98,0.634
2025-06-29,130.26,76.18,54.08,0.7584
