transaction_id,timestamp,amount_sar,payment_method,item_category,staff_id,counterparty_raw
CAFE-20250401-0001,2025-04-01 03:51:04,71.77,credit,combo_meals,STF01,STC INVOICE 44710
CAFE-20250401-0002,2025-04-01 05:23:29,53.19,credit,food_items,STF02,SADAD BILL PAYMENT 8827162
CAFE-20250401-0003,2025-04-01 06:22:34,21.97,mada,coffee_drinks,STF05,SAUDI COFFEE WHOLESALE CO 4421
CAFE-20250401-0004,2025-04-01 07:01:43,59.78,mada,combo_meals,STF05,SAUDI COFFEE WHOLESALE CO 4421
CAFE-20250401-0005,2025-04-01 07:02:20,36.12,credit,food_items,STF03,SADAD BILL PAYMENT 8827162
CAFE-20250401-0006,2025-04-01 07:09:50,43.25,mada,food_items,STF06,SEC ELECTRICITY BILL 22981
CAFE-20250401-0007,2025-04-01 07:24:49,22.56,mada,specialty_drinks,STF06,POS PURCHASE 8271 AL OLAYA RIYADH
CAFE-20250401-0008,2025-04-01 07:30:50,14.88,cash,coffee_drinks,STF04,SAUDI COFFEE WHOLESALE CO 4421
CAFE-20250401-0009,2025-04-01 07:36:41,36.61,cash,specialty_drinks,STF05,مؤسسة النخيل للعقار
CAFE-20250401-0010,2025-04-01 07:39:06,41.9,mada,specialty_drinks,STF06,SAUDI COFFEE WHOLESALE CO 4421
CAFE-20250401-0011,2025-04-01 07:51:20,17.28,mada,coffee_drinks,STF05,POS PURCHASE 8271 AL OLAYA RIYADH
CAFE-20250401-0012,2025-04-01 07:58:10,43.83,mada,combo_meals,STF04,STC INVOICE 44710
CAFE-20250401-0013,2025-04-01 08:05:17,59.74,mada,combo_meals,STF04,شركة المخابز الطازجة
CAFE-20250401-0014,2025-04-01 08:06:16,16.56,mada,coffee_drinks,STF02,ALMARAI DAIRY POS 8837
CAFE-20250401-0015,2025-04-01 08:14:38,22.33,mada,food_items,STF02,
CAFE-20250401-0016,2025-04-01 08:33:46,28.89,mada,specialty_drinks,STF03,TAMIMI MARKETS RIYADH 03421
CAFE-20250401-0017,2025-04-01 08:39:19,32.46,mada,specialty_drinks,STF04,SADAD BILL PAYMENT 8827162
CAFE-20250401-0018,2025-04-01 08:57:50,62.79,mada,combo_meals,STF03,POS PURCHASE 8271 AL OLAYA RIYADH
CAFE-20250401-0019,2025-04-01 09:05:21,32.25,mada,specialty_drinks,STF06,SEC ELECTRICITY BILL 22981
CAFE-20250401-0020,2025-04-01 09:10:06,36.91,mada,specialty_drinks,STF02,SAUDI COFFEE WHOLESALE CO 4421
CAFE-20250401-0021,2025-04-01 09:15:44,31.44,credit,food_items,STF03,SAUDI COFFEE WHOLESALE CO 4421
CAFE-20250401-0022,2025-04-01 09:24:08,39.93,mada,food_items,STF05,شركة المخابز الطازجة
CAFE-20250401-0023,2025-04-01 09:28:24,16.68,mada,coffee_drinks,STF01,SAUDI COFFEE WHOLESALE CO 4421
CAFE-20250401-0024,2025-04-01 09:39:12,42.83,mada,food_items,STF03,ALMARAI DAIRY POS 8837
CAFE-20250401-0025,2025-04-01 09:52:30,47.59,mada,combo_meals,STF02,SAUDI COFFEE WHOLESALE CO 4421
CAFE-20250401-0026,2025-04-01 10:00:58,33.15,cash,specialty_drinks,STF01,SADAD BILL PAYMENT 8827162
CAFE-20250401-0027,2025-04-01 10:04:30,42.81,mada,specialty_drinks,STF03,SAUDI COFFEE WHOLESALE CO 4421
CAFE-20250401-0028,2025-04-01 10:26:19,21.32,cash,food_items,STF06,AL OTHAIM PACKAGING 552
CAFE-20250401-0029,2025-04-01 10:28:51,72.7,mada,combo_meals,STF02,شركة المخابز الطازجة
CAFE-20250401-0030,2025-04-01 10:29:38,20.13,mada,coffee_drinks,STF03,
CAFE-20250401-0031,2025-04-01 11:02:29,24.17,cash,food_items,STF02,
CAFE-20250401-0032,2025-04-01 11:04:51,15.23,mada,coffee_drinks,STF03,ALMARAI DAIRY POS 8837
CAFE-20250401-0033,2025-04-01 11:13:06,42.29,mada,food_items,STF04,ALMARAI DAIRY POS 8837
CAFE-20250401-0034,2025-04-01 11:46:27,27.74,mada,food_items,STF04,STC INVOICE 44710
CAFE-20250401-0035,2025-04-01 11:52:52,27.07,credit,coffee_drinks,STF05,شركة المخابز الطازجة
CAFE-20250401-0036,2025-04-01 12:11:44,20.98,mada,coffee_drinks,STF04,SEC ELECTRICITY BILL 22981
CAFE-20250401-0037,2025-04-01 12:14:18,25.89,mada,specialty_drinks,STF02,
CAFE-20250401-0038,2025-04-01 12:26:50,67.83,cash,combo_meals,STF04,SEC ELECTRICITY BILL 22981
CAFE-20250401-0039,2025-04-01 12:34:15,69.71,cash,combo_meals,STF03,AL OTHAIM PACKAGING 552
CAFE-20250401-0040,2025-04-01 12:44:28,20.27,mada,food_items,STF05,SEC ELECTRICITY BILL 22981
CAFE-20250401-0041,2025-04-01 12:50:13,42.89,mada,specialty_drinks,STF05,AL OTHAIM PACKAGING 552
CAFE-20250401-0042,2025-04-01 12:56:27,18.04,mada,coffee_drinks,STF02,SADAD BILL PAYMENT 8827162
CAFE-20250401-0043,2025-04-01 13:07:16,35.62,mada,combo_meals,STF01,TAMIMI MARKETS RIYADH 03421
CAFE-20250401-0044,2025-04-01 13:11:29,66.04,mada,combo_meals,STF02,SAUDI COFFEE WHOLESALE CO 4421
CAFE-20250401-0045,2025-04-01 13:15:28,13.91,mada,coffee_drinks,STF02,GAZT ZATCA VAT PAYMENT
CAFE-20250401-0046,2025-04-01 13:20:18,27.38,mada,coffee_drinks,STF03,GAZT ZATCA VAT PAYMENT
CAFE-20250401-0047,2025-04-01 13:20:29,45.23,mada,food_items,STF04,AL OTHAIM PACKAGING 552
CAFE-20250401-0048,2025-04-01 13:28:21,21.57,credit,food_items,STF03,ALMARAI DAIRY POS 8837
CAFE-20250401-0049,2025-04-01 13:29:25,22.42,mada,coffee_drinks,STF04,STC INVOICE 44710
CAFE-20250401-0050,2025-04-01 13:31:35,27.65,mada,coffee_drinks,STF04,ALMARAI DAIRY POS 8837
CAFE-20250401-0051,2025-04-01 13:31:40,22.52,mada,coffee_drinks,STF05,ALMARAI DAIRY POS 8837
CAFE-20250401-0052,2025-04-01 13:36:07,23.97,mada,coffee_drinks,STF05,SADAD BILL PAYMENT 8827162
CAFE-20250401-0053,2025-04-01 13:43:05,15.92,mada,coffee_drinks,STF02,ALMARAI DAIRY POS 8837
CAFE-20250401-0054,2025-04-01 13:56:14,14.57,credit,coffee_drinks,STF02,SADAD BILL PAYMENT 8827162
CAFE-20250401-0055,2025-04-01 13:57:46,19.35,mada,coffee_drinks,STF02,SEC ELECTRICITY BILL 22981
CAFE-20250401-0056,2025-04-01 14:37:32,54.87,cash,food_items,STF03,ALMARAI DAIRY POS 8837
CAFE-20250401-0057,2025-04-01 14:38:01,30.34,cash,specialty_drinks,STF01,ALMARAI DAIRY POS 8837
CAFE-20250401-0058,2025-04-01 14:38:40,44.58,mada,food_items,STF01,SAUDI COFFEE WHOLESALE CO 4421
CAFE-20250401-0059,2025-04-01 14:48:09,26.52,mada,food_items,STF04,
CAFE-20250401-0060,2025-04-01 14:51:49,16.53,credit,coffee_drinks,STF01,TAMIMI MARKETS RIYADH 03421
CAFE-20250401-0061,2025-04-01 14:52:31,16.46,cash,coffee_drinks,STF04,TAMIMI MARKETS RIYADH 03421
CAFE-20250401-0062,2025-04-01 15:02:53,18.73,mada,coffee_drinks,STF04,مؤسسة النخيل للعقار
CAFE-20250401-0063,2025-04-01 15:19:54,39.71,mada,specialty_drinks,STF03,
CAFE-20250401-0064,2025-04-01 15:29:16,22.99,credit,coffee_drinks,STF02,TAMIMI MARKETS RIYADH 03421
CAFE-20250401-0065,2025-04-01 15:43:43,23.76,mada,coffee_drinks,STF04,SADAD BILL PAYMENT 8827162
CAFE-20250401-0066,2025-04-01 15:48:51,25.24,credit,specialty_drinks,STF06,SAUDI COFFEE WHOLESALE CO 4421
CAFE-20250401-0067,2025-04-01 16:02:20,26.37,cash,coffee_drinks,STF05,SAUDI COFFEE WHOLESALE CO 4421
CAFE-20250401-0068,2025-04-01 16:04:57,51.39,mada,food_items,STF06,
CAFE-20250401-0069,2025-04-01 16:10:16,26.43,credit,food_items,STF01,TAMIMI MARKETS RIYADH 03421
CAFE-20250401-0070,2025-04-01 16:15:02,26.8,mada,coffee_drinks,STF02,ALMARAI DAIRY POS 8837
CAFE-20250401-0071,2025-04-01 16:44:55,64.69,credit,combo_meals,STF06,ALMARAI DAIRY POS 8837
CAFE-20250401-0072,2025-04-01 17:05:41,49.62,mada,food_items,STF03,شركة المخابز الطازجة
CAFE-20250401-0073,2025-04-01 17:15:31,19.2,mada,coffee_drinks,STF04,SAUDI COFFEE WHOLESALE CO 4421
CAFE-20250401-0074,2025-04-01 17:33:04,17.23,mada,coffee_drinks,STF06,ALMARAI DAIRY POS 8837
CAFE-20250401-0075,2025-04-01 17:54:00,23.82,mada,coffee_drinks,STF06,
CAFE-20250401-0076,2025-04-01 18:00:49,36.54,mada,specialty_drinks,STF05,SAUDI COFFEE WHOLESALE CO 4421
CAFE-20250401-0077,2025-04-01 18:00:52,34.89,mada,specialty_drinks,STF01,ALMARAI DAIRY POS 8837
CAFE-20250401-0078,2025-04-01 18:03:12,24.85,mada,coffee_drinks,STF01,SADAD BILL PAYMENT 8827162
CAFE-20250401-0079,2025-04-01 18:27:19,12.12,mada,coffee_drinks,STF02,SAUDI COFFEE WHOLESALE CO 4421
CAFE-20250401-0080,2025-04-01 18:42:14,14.53,mada,coffee_drinks,STF02,SAUDI COFFEE WHOLESALE CO 4421
CAFE-20250401-0081,2025-04-01 19:43:49,41.75,cash,food_items,STF01,SADAD BILL PAYMENT 8827162
CAFE-20250401-0082,2025-04-01 21:23:40,21.4,mada,coffee_drinks,STF05,GAZT ZATCA VAT PAYMENT
CAFE-20250401-0083,2025-04-01 22:26:44,26.83,mada,coffee_drinks,STF06,SADAD BILL PAYMENT 8827162
CAFE-20250401-0084,2025-04-01 22:34:55,16.18,mada,coffee_drinks,STF03,GAZT ZATCA VAT PAYMENT
CAFE-20250402-0001,2025-04-02 06:05:19,33.84,mada,specialty_drinks,STF03,ALMARAI DAIRY POS 8837
CAFE-20250402-0002,2025-04-02 06:16:55,25.67,credit,coffee_drinks,STF05,مؤسسة النخيل للعقار
CAFE-20250402-0003,2025-04-02 06:51:03,12.5,mada,coffee_drinks,STF05,مؤسسة النخيل للعقار
CAFE-20250402-0004,2025-04-02 07:05:47,19.98,mada,coffee_drinks,STF04,TAMIMI MARKETS RIYADH 03421
CAFE-20250402-0005,2025-04-02 07:07:56,23.9,mada,coffee_drinks,STF06,SAUDI COFFEE WHOLESALE CO 4421
CAFE-20250402-0006,2025-04-02 07:12:56,44.03,mada,combo_meals,STF02,MADA PURCHASE CLEANING SUPPLIES 771
CAFE-20250402-0007,2025-04-02 07:17:12,51.91,mada,food_items,STF04,SAUDI COFFEE WHOLESALE CO 4421
CAFE-20250402-0008,2025-04-02 07:27:25,24.71,cash,coffee_drinks,STF06,TAMIMI MARKETS RIYADH 03421
CAFE-20250402-0009,2025-04-02 07:29:03,17.52,mada,coffee_drinks,STF02,STC INVOICE 44710
CAFE-20250402-0010,2025-04-02 07:30:23,14.77,mada,coffee_drinks,STF05,SEC ELECTRICITY BILL 22981
CAFE-20250402-0011,2025-04-02 07:35:15,38.57,mada,food_items,STF04,
CAFE-20250402-0012,2025-04-02 07:42:07,20.97,mada,coffee_drinks,STF05,MADA PURCHASE CLEANING SUPPLIES 771
CAFE-20250402-0013,2025-04-02 08:02:53,39.62,mada,specialty_drinks,STF02,MADA PURCHASE CLEANING SUPPLIES 771
CAFE-20250402-0014,2025-04-02 08:14:47,51.65,cash,food_items,STF05,STC INVOICE 44710
CAFE-20250402-0015,2025-04-02 08:24:21,25.35,mada,specialty_drinks,STF05,ALMARAI DAIRY POS 8837
CAFE-20250402-0016,2025-04-02 08:25:35,31.36,credit,specialty_drinks,STF06,شركة المخابز الطازجة
CAFE-20250402-0017,2025-04-02 08:28:39,48.89,cash,combo_meals,STF01,ALMARAI DAIRY POS 8837
CAFE-20250402-0018,2025-04-02 08:38:22,43.84,cash,specialty_drinks,STF01,MADA PURCHASE CLEANING SUPPLIES 771
CAFE-20250402-0019,2025-04-02 08:49:15,48.68,cash,combo_meals,STF01,GAZT ZATCA VAT PAYMENT
CAFE-20250402-0020,2025-04-02 08:53:27,34.1,mada,specialty_drinks,STF04,شركة المخابز الطازجة
CAFE-20250402-0021,2025-04-02 08:56:56,43.33,cash,combo_meals,STF01,GAZT ZATCA VAT PAYMENT
CAFE-20250402-0022,2025-04-02 09:09:53,44.83,mada,food_items,STF06,شركة المخابز الطازجة
CAFE-20250402-0023,2025-04-02 09:46:52,42.04,cash,specialty_drinks,STF06,TAMIMI MARKETS RIYADH 03421
CAFE-20250402-0024,2025-04-02 09:52:26,54.07,cash,food_items,STF03,شركة المخابز الطازجة
CAFE-20250402-0025,2025-04-02 10:10:50,37.47,mada,food_items,STF06,SAUDI COFFEE WHOLESALE CO 4421
CAFE-20250402-0026,2025-04-02 10:29:20,45.47,mada,food_items,STF05,TAMIMI MARKETS RIYADH 03421
CAFE-20250402-0027,2025-04-02 10:39:19,24.75,credit,coffee_drinks,STF03,ALMARAI DAIRY POS 8837
CAFE-20250402-0028,2025-04-02 11:21:46,37.13,mada,specialty_drinks,STF04,POS PURCHASE 8271 AL OLAYA RIYADH
CAFE-20250402-0029,2025-04-02 11:24:51,22.59,mada,coffee_drinks,STF01,POS PURCHASE 8271 AL OLAYA RIYADH
CAFE-20250402-0030,2025-04-02 12:18:49,24.51,mada,specialty_drinks,STF04,SAUDI COFFEE WHOLESALE CO 4421
CAFE-20250402-0031,2025-04-02 12:21:04,53.37,credit,combo_meals,STF06,SADAD BILL PAYMENT 8827162
CAFE-20250402-0032,2025-04-02 12:52:49,19.74,mada,coffee_drinks,STF03,ALMARAI DAIRY POS 8837
CAFE-20250402-0033,2025-04-02 12:57:07,34.53,mada,food_items,STF04,ALMARAI DAIRY POS 8837
CAFE-20250402-0034,2025-04-02 13:01:03,27.13,cash,coffee_drinks,STF04,شركة المخابز الطازجة
CAFE-20250402-0035,2025-04-02 13:06:50,14.26,cash,coffee_drinks,STF06,شركة المخابز الطازجة
CAFE-20250402-0036,2025-04-02 13:07:26,20.69,mada,coffee_drinks,STF02,POS PURCHASE 8271 AL OLAYA RIYADH
CAFE-20250402-0037,2025-04-02 13:23:15,22.55,mada,coffee_drinks,STF05,SAUDI COFFEE WHOLESALE CO 4421
CAFE-20250402-0038,2025-04-02 13:27:16,46.82,mada,food_items,STF01,ALMARAI DAIRY POS 8837
CAFE-20250402-0039,2025-04-02 13:35:48,22.23,mada,coffee_drinks,STF03,SAUDI COFFEE WHOLESALE CO 4421
CAFE-20250402-0040,2025-04-02 13:36:16,39.31,mada,combo_meals,STF06,SAUDI COFFEE WHOLESALE CO 4421
CAFE-20250402-0041,2025-04-02 13:38:32,58.66,mada,combo_meals,STF06,SAUDI COFFEE WHOLESALE CO 4421
CAFE-20250402-0042,2025-04-02 13:51:31,13.49,mada,coffee_drinks,STF01,SAUDI COFFEE WHOLESALE CO 4421
CAFE-20250402-0043,2025-04-02 14:09:37,17.53,cash,coffee_drinks,STF05,GAZT ZATCA VAT PAYMENT
CAFE-20250402-0044,2025-04-02 14:22:11,14.78,mada,coffee_drinks,STF06,ALMARAI DAIRY POS 8837
CAFE-20250402-0045,2025-04-02 14:29:49,59.0,mada,combo_meals,STF05,شركة المخابز الطازجة
CAFE-20250402-0046,2025-04-02 14:39:26,53.76,mada,food_items,STF02,STC INVOICE 44710
CAFE-20250402-0047,2025-04-02 14:43:00,35.14,mada,specialty_drinks,STF05,SAUDI COFFEE WHOLESALE CO 4421
CAFE-20250402-0048,2025-04-02 14:46:01,27.5,cash,coffee_drinks,STF02,مؤسسة النخيل للعقار
CAFE-20250402-0049,2025-04-02 14:53:49,18.26,mada,food_items,STF01,MADA PURCHASE CLEANING SUPPLIES 771
CAFE-20250402-0050,2025-04-02 14:54:08,19.83,cash,coffee_drinks,STF06,SAUDI COFFEE WHOLESALE CO 4421
CAFE-20250402-0051,2025-04-02 14:58:43,23.76,credit,specialty_drinks,STF03,TAMIMI MARKETS RIYADH 03421
CAFE-20250402-0052,2025-04-02 15:08:13,17.02,credit,coffee_drinks,STF05,ALMARAI DAIRY POS 8837
