date,total_kwh,peak_hour_kwh,off_peak_kwh,energy_efficiency_score
2025-04-01,305.94,216.45,89.49,0.6611
2025-04-02,216.36,144.13,72.23,0.5237
2025-04-03,226.23,153.87,72.36,0.5355
2025-04-04,210.05,130.07,79.98,0.7157
2025-04-05,325.76,232.1,93.66,0.5645
2025-04-06,303.2,202.03,101.17,0.5886
2025-04-07,241.62,169.87,71.75,0.4676
2025-04-08,296.18,211.06,85.12,0.6426
2025-04-09,293.56,187.61,105.95,0.562
2025-04-10,219.57,132.81,86.76,0.4014
2025-04-11,268.54,161.33,107.21,0.6439
2025-04-12,312.72,207.7,105.02,0.5307
2025-04-13,202.36,142.07,60.29,0.6614
2025-04-14,234.0,153.23,80.77,0.7423
2025-04-15,304.32,193.1,111.22,0.5123
2025-04-16,339.63,222.55,117.08,0.4803
2025-04-17,296.14,203.58,92.56,0.5736
2025-04-18,255.02,172.5,82.52,0.9118
2025-04-19,238.01,144.36,93.65,0.4756
2025-04-20,258.58,177.72,80.86,0.7245
2025-04-21,301.97,181.4,120.57,0.6184
2025-04-22,214.24,149.23,65.01,0.5109
2025-04-23,239.31,157.96,81.35,0.5715
2025-04-24,237.76,167.77,69.99,0.7349
2025-04-25,242.06,153.01,89.05,0.4185
2025-04-26,264.04,169.43,94.61,0.5037
2025-04-27,337.2,214.87,122.33,0.5279
2025-04-28,261.4,167.4,94.0,0.631
2025-04-29,340.02,206.37,133.65,0.4223
2025-04-30,349.91,242.35,107.56,0.5304
2025-05-01,291.7,202.22,89.48,0.4346
2025-05-02,262.92,181.17,81.75,0.627
2025-05-03,260.35,168.68,91.67,0.7337
2025-05-04,316.52,226.96,89.56,0.5774
2025-05-05,290.5,198.48,92.02,0.5399
2025-05-06,255.13,153.59,101.54,0.5299
2025-05-07,234.06,151.24,82.82,0.5302
2025-05-08,251.57,176.29,75.28,0.7364
2025-05-09,294.84,208.32,86.52,0.6855
2025-05-10,339.44,241.41,98.03,0.4189
2025-05-11,234.44,156.6,77.84,0.6445
2025-05-12,329.34,199.97,129.37,0.4268
2025-05-13,227.43,159.64,67.79,0.5082
2025-05-14,211.78,147.38,64.4,0.4673
2025-05-15,229.82,147.48,82.34,0.6531
2025-05-16,236.79,156.12,80.67,0.5238
2025-05-17,200.94,128.7,72.24,0.5699
2025-05-18,230.7,144.7,86.0,0.8859
2025-05-19,293.95,201.98,91.97,0.7282
2025-05-20,328.31,201.22,127.09,0.6616
2025-05-21,280.8,186.68,94.12,0.5085
2025-05-22,283.75,194.67,89.08,0.6669
2025-05-23,280.92,192.32,88.6,0.6483
2025-05-24,336.82,219.28,117.54,0.4828
2025-05-25,252.09,164.0,88.09,0.4688
2025-05-26,217.53,154.36,63.17,0.5022
2025-05-27,340.62,233.23,107.39,0.5061
2025-05-28,246.69,156.61,90.08,0.5558
2025-05-29,218.54,134.01,84.53,0.4084
2025-05-30,221.66,144.34,77.32,0.4177
2025-05-31,261.77,183.83,77.94,0.54
2025-06-01,235.08,150.73,84.35,0.5923
2025-06-02,207.61,135.89,71.72,0.6003
2025-06-03,322.7,219.05,103.65,0.5325
2025-06-04,323.43,198.1,125.33,0.4887
2025-06-05,297.98,211.25,86.73,0.5499
2025-06-06,345.38,217.99,127.39,0.5443
2025-06-07,266.93,178.83,88.1,0.6797
2025-06-08,339.17,220.79,118.38,0.5573
2025-06-09,215.8,147.81,67.99,0.5464
2025-06-10,298.62,200.77,97.85,0.402
2025-06-11,206.0,145.06,60.94,0.4573
2025-06-12,284.88,183.0,101.88,0.5952
2025-06-13,258.85,168.24,90.61,0.4597
2025-06-14,274.57,193.34,81.23,0.7338
2025-06-15,230.83,142.64,88.19,0.4631
2025-06-16,262.78,160.54,102.24,0.6868
2025-06-17,239.3,155.93,83.37,0.48
2025-06-18,228.36,137.72,90.64,0.9384
2025-06-19,247.03,153.32,93.71,0.55
2025-06-20,352.44,226.45,125.99,0.5375
2025-06-21,333.27,218.13,115.14,0.6163
2025-06-22,237.15,156.48,80.67,0.6217
2025-06-23,260.88,184.68,76.2,0.6121
2025-06-24,335.92,210.18,125.74,0.408
2025-06-25,245.13,174.08,71.05,0.6859
2025-06-26,304.12,206.51,97.61,0.718
2025-06-27,342.07,237.98,104.09,0.4126
2025-06-28,279.02,182.93,96.09,0.7443
2025-06-29,275.13,170.61,104.52,0.4346
