date,total_kwh,peak_hour_kwh,off_peak_kwh,energy_efficiency_score
2025-04-01,103.9,61.79,42.11,0.7864
2025-04-02,107.8,61.73,46.07,0.8312
2025-04-03,89.16,51.54,37.62,0.8105
2025-04-04,108.06,63.81,44.25,0.7919
2025-04-05,110.52,65.58,44.94,0.7573
2025-04-06,104.68,60.53,44.15,0.8218
2025-04-07,95.07,58.49,36.58,0.8223
2025-04-08,106.16,67.12,39.04,0.8412
2025-04-09,86.41,54.38,32.03,0.7786
2025-04-10,108.92,66.43,42.49,0.8153
2025-04-11,98.73,62.06,36.67,0.7771
2025-04-12,93.68,59.94,33.74,0.7681
2025-04-13,87.78,51.89,35.89,0.8821
2025-04-14,108.08,70.41,37.67,0.7517
2025-04-15,96.4,60.34,36.06,0.8142
2025-04-16,92.72,59.21,33.51,0.7498
2025-04-17,101.12,62.03,39.09,0.7815
2025-04-18,101.61,59.58,42.03,0.7378
2025-04-19,109.58,68.51,41.07,0.7942
2025-04-20,98.89,60.03,38.86,0.8015
2025-04-21,111.03,65.7,45.33,0.7289
2025-04-22,107.34,74.36,32.98,0.7376
2025-04-23,93.21,64.7,28.51,0.7818
2025-04-24,102.98,65.47,37.51,0.7064
2025-04-25,105.98,68.09,37.89,0.7767
2025-04-26,101.39,63.74,37.65,0.7471
2025-04-27,108.08,62.81,45.27,0.783
2025-04-28,104.66,71.09,33.57,0.7804
2025-04-29,122.98,83.6,39.38,0.808
2025-04-30,88.23,50.03,38.2,0.7941
2025-05-01,98.5,60.21,38.29,0.7362
2025-05-02,104.25,63.78,40.47,0.7923
2025-05-03,115.36,72.74,42.62,0.787
2025-05-04,97.44,56.08,41.36,0.8409
2025-05-05,91.21,58.09,33.12,0.8175
2025-05-06,111.29,65.25,46.04,0.7434
2025-05-07,106.16,61.29,44.87,0.8631
2025-05-08,84.79,44.27,40.52,0.831
2025-05-09,92.68,58.81,33.87,0.8171
2025-05-10,99.04,58.58,40.46,0.818
2025-05-11,95.41,51.64,43.77,0.7812
2025-05-12,102.32,70.83,31.49,0.7843
2025-05-13,111.01,64.1,46.91,0.7763
2025-05-14,97.03,53.63,43.4,0.7828
2025-05-15,109.28,66.37,42.91,0.7419
2025-05-16,105.32,58.45,46.87,0.8105
2025-05-17,108.13,72.76,35.37,0.8334
2025-05-18,101.48,55.53,45.95,0.7857
2025-05-19,82.84,55.11,27.73,0.8358
2025-05-20,110.73,69.13,41.6,0.7207
2025-05-21,95.54,56.9,38.64,0.7157
2025-05-22,123.88,71.49,52.39,0.8349
2025-05-23,93.98,55.71,38.27,0.8503
2025-05-24,119.51,68.14,51.37,0.7385
2025-05-25,98.64,55.0,43.64,0.7406
2025-05-26,99.18,61.1,38.08,0.7883
2025-05-27,96.3,62.21,34.09,0.7825
2025-05-28,98.7,54.82,43.88,0.7372
2025-05-29,105.74,68.28,37.46,0.7417
2025-05-30,90.19,53.35,36.84,0.8132
2025-05-31,97.26,56.75,40.51,0.7804
2025-06-01,105.7,54.74,50.96,0.7864
2025-06-02,110.2,65.5,44.7,0.8091
2025-06-03,88.58,53.63,34.95,0.7712
2025-06-04,108.05,73.23,34.82,0.7842
2025-06-05,102.81,66.33,36.48,0.6854
2025-06-06,101.33,63.16,38.17,0.7812
2025-06-07,99.06,65.62,33.44,0.7644
2025-06-08,110.56,78.66,31.9,0.8233
2025-06-09,103.3,59.56,43.74,0.8051
2025-06-10,101.72,56.04,45.68,0.8613
2025-06-11,93.19,60.65,32.54,0.7321
2025-06-12,119.02,76.78,42.24,0.7461
2025-06-13,100.47,64.61,35.86,0.7806
2025-06-14,95.76,59.68,36.08,0.8115
2025-06-15,102.21,59.4,42.81,0.7463
2025-06-16,102.42,68.42,34.0,0.8182
2025-06-17,107.36,66.85,40.51,0.795
2025-06-18,106.69,62.22,44.47,0.7545
2025-06-19,95.34,53.71,41.63,0.828
2025-06-20,89.73,52.4,37.33,0.7725
2025-06-21,116.04,64.34,51.7,0.7116
2025-06-22,100.08,56.55,43.53,0.7542
2025-06-23,114.98,74.13,40.85,0.8475
2025-06-24,97.23,62.14,35.09,0.7765
2025-06-25,94.18,54.39,39.79,0.7769
2025-06-26,102.11,65.53,36.58,0.703
2025-06-27,96.85,58.11,38.74,0.7669
2025-06-28,104.7,58.91,45.79,0.8228
2025-06-29,96.49,61.86,34.63,0.8338
2025-06-30,95.34,50.23,45.11,0.7341
