transaction_id,timestamp,amount_sar,payment_method,item_category,staff_id
BKRY-20250401-0001,2025-04-01 05:56:25,39.52,mada,pastries,STF01
BKRY-20250401-0002,2025-04-01 06:08:14,27.97,mada,beverages,STF01
BKRY-20250401-0003,2025-04-01 06:09:50,18.36,mada,beverages,STF03
BKRY-20250401-0004,2025-04-01 06:34:32,20.89,mada,bread,STF03
BKRY-20250401-0005,2025-04-01 07:17:44,51.51,mada,beverages,STF01
BKRY-20250401-0006,2025-04-01 07:20:28,20.4,credit,beverages,STF01
BKRY-20250401-0007,2025-04-01 07:28:09,16.24,mada,pastries,STF03
BKRY-20250401-0008,2025-04-01 07:58:47,51.75,mada,pastries,STF03
BKRY-20250401-0009,2025-04-01 08:06:28,31.6,cash,beverages,STF01
BKRY-20250401-0010,2025-04-01 08:08:03,34.89,cash,bread,STF02
BKRY-20250401-0011,2025-04-01 08:29:03,16.08,mada,beverages,STF01
BKRY-20250401-0012,2025-04-01 08:31:06,37.11,cash,pastries,STF01
BKRY-20250401-0013,2025-04-01 08:35:49,12.8,mada,pastries,STF01
BKRY-20250401-0014,2025-04-01 08:36:58,51.32,cash,pastries,STF01
BKRY-20250401-0015,2025-04-01 08:41:25,27.4,mada,beverages,STF02
BKRY-20250401-0016,2025-04-01 08:46:14,20.1,mada,pastries,STF01
BKRY-20250401-0017,2025-04-01 08:46:40,46.92,cash,bread,STF03
BKRY-20250401-0018,2025-04-01 08:48:41,15.61,mada,bread,STF01
BKRY-20250401-0019,2025-04-01 08:54:58,17.05,mada,beverages,STF01
BKRY-20250401-0020,2025-04-01 08:59:55,23.78,cash,pastries,STF03
BKRY-20250401-0021,2025-04-01 09:00:19,28.68,cash,savory,STF02
BKRY-20250401-0022,2025-04-01 09:08:57,15.62,mada,pastries,STF01
BKRY-20250401-0023,2025-04-01 09:21:26,21.38,mada,beverages,STF01
BKRY-20250401-0024,2025-04-01 09:26:59,19.83,cash,beverages,STF03
BKRY-20250401-0025,2025-04-01 09:31:56,19.1,cash,pastries,STF02
BKRY-20250401-0026,2025-04-01 09:33:01,20.82,credit,savory,STF01
BKRY-20250401-0027,2025-04-01 09:33:54,23.22,mada,bread,STF03
