date,total_kwh,peak_hour_kwh,off_peak_kwh,energy_efficiency_score
2025-04-01,179.35,101.45,77.9,0.6173
2025-04-02,211.31,121.73,89.58,0.4261
2025-04-03,214.76,138.29,76.47,0.6126
2025-04-04,228.64,135.89,92.75,0.7532
2025-04-05,208.05,134.48,73.57,0.4279
2025-04-06,143.77,90.11,53.66,0.0
2025-04-07,166.24,94.97,71.27,0.2701
2025-04-08,196.94,127.59,69.35,0.5355
2025-04-09,166.28,92.87,73.41,0.7248
2025-04-10,182.91,121.1,61.81,0.5241
2025-04-11,199.91,127.98,71.93,0.5338
2025-04-12,208.45,145.65,62.8,0.5171
2025-04-13,196.52,109.91,86.61,0.3906
2025-04-14,152.44,87.02,65.42,0.4913
2025-04-15,167.79,107.18,60.61,0.7169
2025-04-16,160.34,89.32,71.02,0.5311
2025-04-17,211.88,119.69,92.19,0.6029
2025-04-18,230.46,143.68,86.78,0.6296
2025-04-19,168.94,94.28,74.66,0.4349
2025-04-20,175.43,101.03,74.4,0.3689
2025-04-21,172.84,100.6,72.24,0.2444
2025-04-22,166.72,96.21,70.51,0.9192
2025-04-23,145.24,98.89,46.35,0.309
2025-04-24,211.16,128.78,82.38,0.3934
2025-04-25,261.86,183.17,78.69,0.6211
2025-04-26,196.27,113.78,82.49,0.5245
2025-04-27,181.11,121.49,59.62,0.6712
2025-04-28,195.41,118.61,76.8,0.3787
2025-04-29,137.26,88.39,48.87,0.6534
2025-04-30,229.86,142.84,87.02,0.4922
2025-05-01,187.73,117.74,69.99,0.5988
2025-05-02,185.44,128.51,56.93,0.8868
2025-05-03,164.44,97.07,67.37,0.5723
2025-05-04,159.54,104.44,55.1,0.7922
2025-05-05,175.33,101.42,73.91,0.521
2025-05-06,153.01,102.18,50.83,0.5626
2025-05-07,184.58,110.97,73.61,0.5453
2025-05-08,146.87,85.61,61.26,0.7232
2025-05-09,224.48,129.11,95.37,0.4488
2025-05-10,157.74,90.25,67.49,0.5823
2025-05-11,169.15,103.87,65.28,0.347
2025-05-12,210.46,123.94,86.52,0.5207
2025-05-13,146.54,93.6,52.94,0.5716
2025-05-14,209.15,141.88,67.27,0.4845
2025-05-15,196.38,127.22,69.16,0.9298
2025-05-16,168.54,96.97,71.57,0.7974
2025-05-17,148.98,87.09,61.89,0.0
2025-05-18,153.68,105.34,48.34,0.1007
2025-05-19,220.79,129.57,91.22,0.4677
2025-05-20,188.35,121.16,67.19,0.4921
2025-05-21,164.23,114.43,49.8,0.4674
2025-05-22,241.99,149.36,92.63,0.6868
2025-05-23,183.46,109.94,73.52,0.7051
2025-05-24,218.77,151.49,67.28,0.4175
2025-05-25,154.67,98.45,56.22,0.3374
2025-05-26,130.1,88.0,42.1,0.0
2025-05-27,170.99,115.63,55.36,0.6367
2025-05-28,206.69,114.45,92.24,0.3082
2025-05-29,200.81,139.49,61.32,0.8631
2025-05-30,197.17,136.17,61.0,0.5196
2025-05-31,154.4,84.97,69.43,0.286
2025-06-01,220.2,152.89,67.31,0.4708
2025-06-02,146.52,91.99,54.53,0.268
2025-06-03,158.03,99.91,58.12,0.4073
2025-06-04,147.02,91.59,55.43,0.5499
2025-06-05,173.81,102.47,71.34,0.6605
2025-06-06,240.29,161.6,78.69,0.4952
2025-06-07,157.58,105.8,51.78,0.7482
2025-06-08,143.86,83.9,59.96,0.4256
2025-06-09,194.34,132.87,61.47,0.5051
2025-06-10,154.92,100.8,54.12,0.8989
2025-06-11,153.4,89.22,64.18,0.5421
2025-06-12,237.17,156.54,80.63,0.6878
2025-06-13,175.79,116.7,59.09,0.5346
2025-06-14,240.54,160.32,80.22,0.5978
2025-06-15,211.25,129.64,81.61,0.5437
2025-06-16,205.51,116.86,88.65,0.3156
2025-06-17,238.45,152.83,85.62,0.4078
2025-06-18,191.27,105.77,85.5,0.2089
2025-06-19,228.72,154.22,74.5,0.5835
2025-06-20,226.97,155.39,71.58,0.7515
2025-06-21,165.85,106.35,59.5,0.4562
2025-06-22,130.78,75.47,55.31,0.0
2025-06-23,142.78,87.11,55.67,0.3849
2025-06-24,190.79,111.76,79.03,0.5251
2025-06-25,183.78,115.65,68.13,0.6327
2025-06-26,156.47,95.79,60.68,0.6517
2025-06-27,231.01,130.21,100.8,0.6571
2025-06-28,160.15,101.16,58.99,0.1764
2025-06-29,185.02,111.09,73.93,0.4614
