transaction_id,timestamp,amount_sar,payment_method,machine_id,cycle_type,counterparty_raw
TXN-20250401-0001,2025-04-01 00:13:02,21.72,cash,M03,quick_wash,SEC ELECTRICITY BILL 41220
TXN-20250401-0002,2025-04-01 00:39:21,23.03,mada,M02,quick_wash,
TXN-20250401-0003,2025-04-01 02:01:52,33.04,mada,M01,standard,SADAD BILL PAYMENT 5521099
TXN-20250401-0004,2025-04-01 02:28:35,20.08,cash,M03,quick_wash,STC INVOICE 88120
TXN-20250401-0005,2025-04-01 03:27:53,35.16,mada,M03,standard,HENKEL DETERGENTS SUPPLY 3312
TXN-20250401-0006,2025-04-01 04:27:01,48.72,mada,M01,heavy_duty,HENKEL DETERGENTS SUPPLY 3312
TXN-20250401-0007,2025-04-01 06:00:04,30.8,credit,M01,standard,شركة المنظفات الوطنية
TXN-20250401-0008,2025-04-01 06:40:02,36.03,mada,M07,standard,SEC ELECTRICITY BILL 41220
TXN-20250401-0009,2025-04-01 07:26:08,46.45,cash,M02,heavy_duty,شركة المنظفات الوطنية
TXN-20250401-0010,2025-04-01 07:54:22,86.16,mada,M01,dry_clean,HENKEL DETERGENTS SUPPLY 3312
TXN-20250401-0011,2025-04-01 08:11:33,23.97,credit,M03,quick_wash,NWC WATER AUTHORITY 6621
TXN-20250401-0012,2025-04-01 08:57:40,17.79,cash,M08,quick_wash,NWC WATER AUTHORITY 6621
TXN-20250401-0013,2025-04-01 08:59:12,62.18,cash,M08,heavy_duty,
TXN-20250401-0014,2025-04-01 09:01:01,63.39,cash,M08,heavy_duty,HENKEL DETERGENTS SUPPLY 3312
TXN-20250401-0015,2025-04-01 09:25:41,25.14,mada,M03,standard,مؤسسة الإيجار العقارية
TXN-20250401-0016,2025-04-01 09:26:56,69.87,mada,M02,dry_clean,HENKEL DETERGENTS SUPPLY 3312
TXN-20250401-0017,2025-04-01 09:27:24,34.78,mada,M01,standard,
TXN-20250401-0018,2025-04-01 09:29:10,19.94,mada,M08,quick_wash,SEC ELECTRICITY BILL 41220
TXN-20250401-0019,2025-04-01 09:41:44,37.74,cash,M01,standard,مؤسسة الإيجار العقارية
TXN-20250401-0020,2025-04-01 09:43:25,32.63,cash,M06,standard,SADAD BILL PAYMENT 5521099
TXN-20250401-0021,2025-04-01 10:55:16,24.73,mada,M06,quick_wash,شركة المنظفات الوطنية
TXN-20250401-0022,2025-04-01 10:56:52,80.41,mada,M01,dry_clean,SEC ELECTRICITY BILL 41220
TXN-20250401-0023,2025-04-01 11:00:18,32.39,mada,M05,standard,HENKEL DETERGENTS SUPPLY 3312
TXN-20250401-0024,2025-04-01 11:23:14,33.58,cash,M08,standard,شركة المنظفات الوطنية
TXN-20250401-0025,2025-04-01 11:58:48,24.4,credit,M05,quick_wash,
TXN-20250401-0026,2025-04-01 12:08:07,58.69,credit,M05,heavy_duty,STC INVOICE 88120
TXN-20250401-0027,2025-04-01 12:08:36,39.5,credit,M01,standard,مؤسسة الإيجار العقارية
TXN-20250401-0028,2025-04-01 12:13:38,18.06,mada,M01,quick_wash,SADAD BILL PAYMENT 5521099
TXN-20250401-0029,2025-04-01 12:31:32,27.54,mada,M07,standard,SPARE PARTS TRADING 902
TXN-20250401-0030,2025-04-01 12:38:48,63.25,mada,M02,heavy_duty,مؤسسة الإيجار العقارية
TXN-20250401-0031,2025-04-01 12:50:21,39.85,mada,M03,standard,STC INVOICE 88120
TXN-20250401-0032,2025-04-01 12:57:54,18.23,cash,M01,quick_wash,GAZT ZATCA VAT PAYMENT
TXN-20250401-0033,2025-04-01 13:00:56,48.99,mada,M07,heavy_duty,
TXN-20250401-0034,2025-04-01 13:03:29,28.84,cash,M04,standard,NWC WATER AUTHORITY 6621
TXN-20250401-0035,2025-04-01 13:07:26,32.52,cash,M01,standard,مؤسسة الإيجار العقارية
TXN-20250401-0036,2025-04-01 13:14:42,18.97,mada,M03,quick_wash,SEC ELECTRICITY BILL 41220
TXN-20250401-0037,2025-04-01 13:22:36,30.63,mada,M07,standard,NWC WATER AUTHORITY 6621
TXN-20250401-0038,2025-04-01 13:27:06,29.92,mada,M06,standard,POS PURCHASE 2214 AL MALAZ
TXN-20250401-0039,2025-04-01 13:41:38,20.91,mada,M04,quick_wash,SADAD BILL PAYMENT 5521099
TXN-20250401-0040,2025-04-01 14:25:54,18.03,mada,M05,quick_wash,HENKEL DETERGENTS SUPPLY 3312
TXN-20250401-0041,2025-04-01 14:31:31,36.55,mada,M05,standard,مؤسسة الإيجار العقارية
TXN-20250401-0042,2025-04-01 15:06:58,37.63,mada,M06,standard,NWC WATER AUTHORITY 6621
TXN-20250401-0043,2025-04-01 15:51:11,34.56,cash,M05,standard,SEC ELECTRICITY BILL 41220
TXN-20250401-0044,2025-04-01 15:51:12,100.02,mada,M08,dry_clean,STC INVOICE 88120
TXN-20250401-0045,2025-04-01 15:58:53,19.39,mada,M05,quick_wash,NWC WATER AUTHORITY 6621
TXN-20250401-0046,2025-04-01 16:38:01,15.81,mada,M04,quick_wash,HENKEL DETERGENTS SUPPLY 3312
TXN-20250401-0047,2025-04-01 16:58:04,27.6,mada,M02,standard,STC INVOICE 88120
TXN-20250401-0048,2025-04-01 17:00:34,15.94,mada,M05,quick_wash,SADAD BILL PAYMENT 5521099
TXN-20250401-0049,2025-04-01 17:27:43,24.55,cash,M07,quick_wash,SADAD BILL PAYMENT 5521099
TXN-20250401-0050,2025-04-01 17:32:47,35.95,mada,M02,standard,HENKEL DETERGENTS SUPPLY 3312
TXN-20250401-0051,2025-04-01 17:36:46,36.37,mada,M06,standard,
TXN-20250401-0052,2025-04-01 17:36:48,15.94,mada,M06,quick_wash,HENKEL DETERGENTS SUPPLY 3312
TXN-20250401-0053,2025-04-01 17:50:31,51.85,mada,M08,heavy_duty,POS PURCHASE 2214 AL MALAZ
TXN-20250401-0054,2025-04-01 18:05:27,48.66,mada,M05,heavy_duty,شركة المنظفات الوطنية
TXN-20250401-0055,2025-04-01 18:23:36,34.24,cash,M02,standard,SADAD BILL PAYMENT 5521099
TXN-20250401-0056,2025-04-01 18:31:05,15.15,credit,M08,quick_wash,HENKEL DETERGENTS SUPPLY 3312
TXN-20250401-0057,2025-04-01 18:38:44,56.47,mada,M08,heavy_duty,شركة المنظفات الوطنية
TXN-20250401-0058,2025-04-01 19:34:32,116.1,credit,M08,dry_clean,POS PURCHASE 2214 AL MALAZ
TXN-20250401-0059,2025-04-01 19:38:32,90.28,mada,M04,dry_clean,SEC ELECTRICITY BILL 41220
TXN-20250401-0060,2025-04-01 19:41:43,23.11,cash,M04,quick_wash,MADA PURCHASE HANGERS 55
TXN-20250401-0061,2025-04-01 19:48:57,39.42,credit,M04,standard,GAZT ZATCA VAT PAYMENT
TXN-20250401-0062,2025-04-01 20:36:22,17.15,mada,M05,quick_wash,HENKEL DETERGENTS SUPPLY 3312
TXN-20250401-0063,2025-04-01 20:38:05,21.83,mada,M08,quick_wash,POS PURCHASE 2214 AL MALAZ
TXN-20250401-0064,2025-04-01 20:43:19,35.22,mada,M03,standard,NWC WATER AUTHORITY 6621
TXN-20250401-0065,2025-04-01 20:51:48,16.18,cash,M05,quick_wash,SEC ELECTRICITY BILL 41220
TXN-20250401-0066,2025-04-01 21:12:31,52.74,mada,M05,dry_clean,STC INVOICE 88120
TXN-20250401-0067,2025-04-01 21:32:50,16.77,cash,M08,quick_wash,SPARE PARTS TRADING 902
TXN-20250401-0068,2025-04-01 21:34:43,35.97,mada,M01,standard,POS PURCHASE 2214 AL MALAZ
TXN-20250401-0069,2025-04-01 22:02:48,48.52,credit,M05,heavy_duty,SADAD BILL PAYMENT 5521099
TXN-20250401-0070,2025-04-01 22:14:14,21.8,cash,M03,quick_wash,HENKEL DETERGENTS SUPPLY 3312
TXN-20250401-0071,2025-04-01 22:23:40,24.03,mada,M08,quick_wash,STC INVOICE 88120
TXN-20250401-0072,2025-04-01 22:51:31,29.46,mada,M04,standard,NWC WATER AUTHORITY 6621
TXN-20250401-0073,2025-04-01 23:26:34,24.05,mada,M07,quick_wash,HENKEL DETERGENTS SUPPLY 3312
TXN-20250402-0001,2025-04-02 01:30:04,45.32,mada,M04,heavy_duty,HENKEL DETERGENTS SUPPLY 3312
TXN-20250402-0002,2025-04-02 02:30:07,92.57,cash,M07,dry_clean,شركة المنظفات الوطنية
TXN-20250402-0003,2025-04-02 07:00:53,38.56,mada,M06,standard,SADAD BILL PAYMENT 5521099
TXN-20250402-0004,2025-04-02 07:05:17,38.66,mada,M02,standard,PACKAGING SUPPLIES CO 118
TXN-20250402-0005,2025-04-02 07:46:24,63.74,mada,M08,heavy_duty,GAZT ZATCA VAT PAYMENT
TXN-20250402-0006,2025-04-02 07:48:12,59.22,mada,M05,heavy_duty,SADAD BILL PAYMENT 5521099
TXN-20250402-0007,2025-04-02 07:49:27,84.48,mada,M03,dry_clean,
TXN-20250402-0008,2025-04-02 07:49:58,30.12,mada,M07,standard,
TXN-20250402-0009,2025-04-02 07:52:22,16.52,mada,M08,quick_wash,SADAD BILL PAYMENT 5521099
TXN-20250402-0010,2025-04-02 07:57:33,21.97,mada,M08,quick_wash,شركة المنظفات الوطنية
TXN-20250402-0011,2025-04-02 08:05:27,35.01,mada,M02,standard,
TXN-20250402-0012,2025-04-02 08:19:12,23.22,mada,M02,quick_wash,GAZT ZATCA VAT PAYMENT
TXN-20250402-0013,2025-04-02 08:25:07,15.89,mada,M01,quick_wash,SADAD BILL PAYMENT 5521099
TXN-20250402-0014,2025-04-02 08:32:52,38.41,mada,M02,standard,NWC WATER AUTHORITY 6621
TXN-20250402-0015,2025-04-02 08:36:09,25.59,cash,M01,standard,
TXN-20250402-0016,2025-04-02 08:36:52,32.67,mada,M08,standard,SADAD BILL PAYMENT 5521099
TXN-20250402-0017,2025-04-02 08:44:04,17.77,cash,M01,quick_wash,SEC ELECTRICITY BILL 41220
TXN-20250402-0018,2025-04-02 08:45:34,39.79,mada,M08,standard,NWC WATER AUTHORITY 6621
TXN-20250402-0019,2025-04-02 09:39:31,34.27,mada,M08,standard,NWC WATER AUTHORITY 6621
TXN-20250402-0020,2025-04-02 10:12:03,41.56,mada,M03,heavy_duty,شركة المنظفات الوطنية
TXN-20250402-0021,2025-04-02 11:07:37,62.38,mada,M07,heavy_duty,SEC ELECTRICITY BILL 41220
TXN-20250402-0022,2025-04-02 11:31:15,23.67,mada,M03,quick_wash,SADAD BILL PAYMENT 5521099
TXN-20250402-0023,2025-04-02 12:00:17,17.69,mada,M02,quick_wash,POS PURCHASE 2214 AL MALAZ
TXN-20250402-0024,2025-04-02 12:16:08,37.61,mada,M06,standard,POS PURCHASE 2214 AL MALAZ
TXN-20250402-0025,2025-04-02 12:32:53,23.91,mada,M04,quick_wash,STC INVOICE 88120
TXN-20250402-0026,2025-04-02 12:50:44,34.73,mada,M04,standard,مؤسسة الإيجار العقارية
TXN-20250402-0027,2025-04-02 12:58:26,33.8,cash,M01,standard,PACKAGING SUPPLIES CO 118
TXN-20250402-0028,2025-04-02 13:00:20,30.68,mada,M04,standard,STC INVOICE 88120
TXN-20250402-0029,2025-04-02 13:11:09,33.56,mada,M05,standard,GAZT ZATCA VAT PAYMENT
TXN-20250402-0030,2025-04-02 13:14:36,39.01,mada,M05,standard,SEC ELECTRICITY BILL 41220
TXN-20250402-0031,2025-04-02 13:37:02,17.46,mada,M03,quick_wash,PACKAGING SUPPLIES CO 118
TXN-20250402-0032,2025-04-02 13:40:35,23.06,mada,M01,quick_wash,SADAD BILL PAYMENT 5521099
TXN-20250402-0033,2025-04-02 14:02:58,20.25,mada,M04,quick_wash,SEC ELECTRICITY BILL 41220
TXN-20250402-0034,2025-04-02 14:16:04,112.76,mada,M03,dry_clean,شركة المنظفات الوطنية
TXN-20250402-0035,2025-04-02 14:57:59,60.43,mada,M08,heavy_duty,NWC WATER AUTHORITY 6621
TXN-20250402-0036,2025-04-02 14:58:56,60.52,cash,M03,heavy_duty,شركة المنظفات الوطنية
TXN-20250402-0037,2025-04-02 15:27:36,29.2,cash,M06,standard,HENKEL DETERGENTS SUPPLY 3312
TXN-20250402-0038,2025-04-02 15:40:34,99.77,mada,M04,dry_clean,شركة المنظفات الوطنية
TXN-20250402-0039,2025-04-02 15:43:04,16.15,cash,M08,quick_wash,POS PURCHASE 2214 AL MALAZ
TXN-20250402-0040,2025-04-02 16:13:08,20.06,credit,M05,quick_wash,POS PURCHASE 2214 AL MALAZ
TXN-20250402-0041,2025-04-02 16:15:22,25.78,mada,M02,standard,POS PURCHASE 2214 AL MALAZ
TXN-20250402-0042,2025-04-02 17:09:18,33.23,mada,M08,standard,NWC WATER AUTHORITY 6621
TXN-20250402-0043,2025-04-02 17:16:47,46.37,cash,M01,heavy_duty,SADAD BILL PAYMENT 5521099
TXN-20250402-0044,2025-04-02 17:20:13,19.73,cash,M03,quick_wash,HENKEL DETERGENTS SUPPLY 3312
TXN-20250402-0045,2025-04-02 17:28:12,38.94,cash,M04,standard,PACKAGING SUPPLIES CO 118
TXN-20250402-0046,2025-04-02 17:56:10,38.99,credit,M02,standard,HENKEL DETERGENTS SUPPLY 3312
TXN-20250402-0047,2025-04-02 18:11:23,15.66,cash,M06,quick_wash,HENKEL DETERGENTS SUPPLY 3312
TXN-20250402-0048,2025-04-02 18:46:22,22.82,cash,M05,quick_wash,SPARE PARTS TRADING 902
TXN-20250402-0049,2025-04-02 18:50:04,16.64,mada,M05,quick_wash,شركة المنظفات الوطنية
TXN-20250402-0050,2025-04-02 18:55:29,21.34,credit,M01,quick_wash,شركة المنظفات الوطنية
TXN-20250402-0051,2025-04-02 19:07:57,49.81,cash,M07,heavy_duty,شركة المنظفات الوطنية
TXN-20250402-0052,2025-04-02 19:16:20,62.49,cash,M01,heavy_duty,MADA PURCHASE HANGERS 55
TXN-20250402-0053,2025-04-02 19:24:21,52.57,mada,M01,heavy_duty,SADAD BILL PAYMENT 5521099
TXN-20250402-0054,2025-04-02 19:27:35,32.98,mada,M08,standard,HENKEL DETERGENTS SUPPLY 3312
TXN-20250402-0055,2025-04-02 19:27:47,26.75,credit,M07,standard,
TXN-20250402-0056,2025-04-02 19:27:52,57.34,mada,M07,heavy_duty,مؤسسة الإيجار العقارية
TXN-20250402-0057,2025-04-02 19:32:33,33.0,credit,M04,standard,
TXN-20250402-0058,2025-04-02 20:00:48,102.67,cash,M03,dry_clean,HENKEL DETERGENTS SUPPLY 3312
TXN-20250402-0059,2025-04-02 20:01:09,40.84,mada,M02,heavy_duty,HENKEL DETERGENTS SUPPLY 3312
