date,total_kwh,peak_hour_kwh,off_peak_kwh,energy_efficiency_score
2025-04-01,187.46,98.95,88.51,0.7466
2025-04-02,197.27,107.9,89.37,0.7665
2025-04-03,198.2,100.01,98.19,0.7918
2025-04-04,223.65,119.16,104.49,0.8296
2025-04-05,205.86,107.69,98.17,0.611
2025-04-06,214.46,112.52,101.94,0.6714
2025-04-07,188.24,96.34,91.9,0.6995
2025-04-08,159.66,84.36,75.3,0.9024
2025-04-09,154.72,80.66,74.06,0.6887
2025-04-10,175.39,90.92,84.47,0.9112
2025-04-11,195.91,105.48,90.43,0.8423
2025-04-12,185.11,95.44,89.67,0.74
2025-04-13,192.62,104.57,88.05,0.7676
2025-04-14,196.24,105.66,90.58,0.7304
2025-04-15,166.54,83.38,83.16,0.8933
2025-04-16,179.44,95.3,84.14,0.6083
2025-04-17,176.13,94.15,81.98,0.752
2025-04-18,158.61,84.98,73.63,0.9203
2025-04-19,163.52,82.38,81.14,0.7139
2025-04-20,192.4,97.5,94.9,0.6722
2025-04-21,201.92,109.52,92.4,0.7556
2025-04-22,172.43,93.67,78.76,0.8735
2025-04-23,161.76,80.95,80.81,0.8821
2025-04-24,188.37,100.76,87.61,0.8558
2025-04-25,189.8,104.11,85.69,0.8594
2025-04-26,173.56,92.43,81.13,0.8552
2025-04-27,177.08,96.6,80.48,0.7087
2025-04-28,200.31,100.74,99.57,0.7527
2025-04-29,153.43,80.52,72.91,0.9124
2025-04-30,209.77,107.39,102.38,0.6012
2025-05-01,204.89,111.69,93.2,0.8913
2025-05-02,204.45,106.67,97.78,0.902
2025-05-03,205.67,109.14,96.53,0.7691
2025-05-04,154.09,78.22,75.87,0.8599
2025-05-05,194.8,101.48,93.32,0.6967
2025-05-06,157.42,79.94,77.48,0.7691
2025-05-07,161.82,87.36,74.46,0.6715
2025-05-08,170.67,90.05,80.62,0.8114
2025-05-09,183.89,98.81,85.08,0.9404
2025-05-10,169.13,89.17,79.96,0.922
2025-05-11,167.3,85.85,81.45,0.7554
2025-05-12,199.15,104.16,94.99,0.6418
2025-05-13,147.23,77.18,70.05,0.7525
2025-05-14,164.38,86.17,78.21,0.809
2025-05-15,211.95,108.72,103.23,0.8375
2025-05-16,184.48,95.88,88.6,0.9178
2025-05-17,201.79,104.63,97.16,0.6327
2025-05-18,195.15,104.1,91.05,0.6696
2025-05-19,209.24,113.02,96.22,0.6845
2025-05-20,203.76,108.26,95.5,0.765
2025-05-21,164.93,88.09,76.84,0.8713
2025-05-22,212.96,115.13,97.83,0.6791
2025-05-23,142.15,78.15,64.0,0.8619
2025-05-24,149.18,75.59,73.59,0.8285
2025-05-25,214.92,111.29,103.63,0.5832
2025-05-26,207.28,104.82,102.46,0.6593
2025-05-27,200.98,110.43,90.55,0.6765
2025-05-28,157.51,86.24,71.27,0.6851
2025-05-29,184.84,101.31,83.53,0.7575
2025-05-30,208.42,114.11,94.31,0.7046
2025-05-31,170.82,91.42,79.4,0.7144
2025-06-01,190.86,102.63,88.23,0.7678
2025-06-02,174.17,87.26,86.91,0.5794
2025-06-03,151.99,76.7,75.29,0.9198
2025-06-04,187.26,94.94,92.32,0.706
2025-06-05,202.02,109.52,92.5,0.9017
2025-06-06,222.34,111.37,110.97,0.7521
2025-06-07,209.72,114.59,95.13,0.758
2025-06-08,170.37,91.77,78.6,0.7479
2025-06-09,140.7,77.1,63.6,0.7282
2025-06-10,154.33,80.38,73.95,0.8084
2025-06-11,196.03,98.99,97.04,0.6927
2025-06-12,201.15,107.59,93.56,0.8645
2025-06-13,174.91,88.71,86.2,0.9446
2025-06-14,158.03,82.99,75.04,0.8692
2025-06-15,212.14,108.97,103.17,0.7103
2025-06-16,163.9,89.29,74.61,0.808
2025-06-17,213.92,111.06,102.86,0.5867
2025-06-18,162.79,86.7,76.09,0.6835
2025-06-19,187.45,96.08,91.37,0.7116
2025-06-20,190.78,96.92,93.86,0.9048
2025-06-21,209.96,110.01,99.95,0.714
2025-06-22,196.68,98.52,98.16,0.7824
2025-06-23,170.31,89.51,80.8,0.8265
2025-06-24,191.03,103.1,87.93,0.5324
2025-06-25,164.61,90.3,74.31,0.6253
2025-06-26,152.3,80.36,71.94,0.9013
2025-06-27,177.36,95.7,81.66,0.773
2025-06-28,189.29,101.34,87.95,0.6512
2025-06-29,195.81,100.99,94.82,0.7453
