transaction_id,timestamp,amount_sar,payment_method,basket_size,category,counterparty_raw
MINI-20250401-0001,2025-04-01 00:03:04,21.53,mada,small_basket,household,شركة أغذية الطازج للتوزيع
MINI-20250401-0002,2025-04-01 00:09:29,36.58,cash,small_basket,household,NADEC FOODS SUPPLY 2214
MINI-20250401-0003,2025-04-01 00:52:35,355.65,cash,large_basket,groceries,NADEC FOODS SUPPLY 2214
MINI-20250401-0004,2025-04-01 01:24:42,239.01,mada,large_basket,snacks,SADAD BILL PAYMENT 33120
MINI-20250401-0005,2025-04-01 02:34:26,9.31,mada,small_basket,groceries,GAZT ZATCA VAT PAYMENT
MINI-20250401-0006,2025-04-01 02:36:18,82.58,mada,medium_basket,snacks,NADEC FOODS SUPPLY 2214
MINI-20250401-0007,2025-04-01 02:38:18,18.04,mada,small_basket,groceries,NADEC FOODS SUPPLY 2214
MINI-20250401-0008,2025-04-01 05:05:19,38.15,mada,small_basket,groceries,COCA COLA BOTTLING RIYADH 771
MINI-20250401-0009,2025-04-01 05:11:18,57.0,mada,medium_basket,groceries,شركة أغذية الطازج للتوزيع
MINI-20250401-0010,2025-04-01 06:24:43,19.77,cash,small_basket,beverages,شركة أغذية الطازج للتوزيع
MINI-20250401-0011,2025-04-01 06:45:04,171.34,cash,medium_basket,snacks,ALMARAI DISTRIBUTION 8832
MINI-20250401-0012,2025-04-01 06:52:53,44.64,mada,small_basket,groceries,SADAD BILL PAYMENT 33120
MINI-20250401-0013,2025-04-01 07:06:53,36.98,credit,small_basket,beverages,PANDA RETAIL WHOLESALE 5521
MINI-20250401-0014,2025-04-01 07:17:51,15.92,mada,small_basket,beverages,SADAD BILL PAYMENT 33120
MINI-20250401-0015,2025-04-01 07:23:37,39.46,mada,small_basket,beverages,COCA COLA BOTTLING RIYADH 771
MINI-20250401-0016,2025-04-01 07:33:07,42.17,cash,small_basket,groceries,CLEANING SUPPLIES CO 902
MINI-20250401-0017,2025-04-01 07:38:46,88.05,mada,medium_basket,beverages,STC INVOICE 66120
MINI-20250401-0018,2025-04-01 07:43:53,425.48,cash,large_basket,household,PANDA RETAIL WHOLESALE 5521
MINI-20250401-0019,2025-04-01 07:44:55,154.46,mada,medium_basket,beverages,
MINI-20250401-0020,2025-04-01 07:46:46,8.24,cash,small_basket,groceries,شركة أغذية الطازج للتوزيع
MINI-20250401-0021,2025-04-01 07:47:41,40.07,cash,small_basket,beverages,ALMARAI DISTRIBUTION 8832
MINI-20250401-0022,2025-04-01 07:50:55,27.07,mada,small_basket,household,COCA COLA BOTTLING RIYADH 771
MINI-20250401-0023,2025-04-01 07:53:57,25.73,mada,small_basket,household,POS PURCHASE 8891 AL NASEEM
MINI-20250401-0024,2025-04-01 08:01:40,303.1,mada,large_basket,snacks,POS PURCHASE 8891 AL NASEEM
MINI-20250401-0025,2025-04-01 08:01:59,10.97,mada,small_basket,groceries,
MINI-20250401-0026,2025-04-01 08:02:56,13.76,credit,small_basket,groceries,
MINI-20250401-0027,2025-04-01 08:07:58,35.01,cash,small_basket,snacks,ALMARAI DISTRIBUTION 8832
MINI-20250401-0028,2025-04-01 08:11:11,334.09,cash,large_basket,beverages,ALMARAI DISTRIBUTION 8832
MINI-20250401-0029,2025-04-01 08:13:51,11.86,cash,small_basket,groceries,SADAD BILL PAYMENT 33120
MINI-20250401-0030,2025-04-01 08:14:57,11.63,cash,small_basket,groceries,COCA COLA BOTTLING RIYADH 771
MINI-20250401-0031,2025-04-01 08:19:48,167.3,mada,medium_basket,personal_care,COCA COLA BOTTLING RIYADH 771
MINI-20250401-0032,2025-04-01 08:26:01,36.57,mada,small_basket,snacks,SADAD BILL PAYMENT 33120
MINI-20250401-0033,2025-04-01 08:35:50,284.26,mada,large_basket,household,NADEC FOODS SUPPLY 2214
MINI-20250401-0034,2025-04-01 08:49:34,178.85,cash,medium_basket,personal_care,شركة أغذية الطازج للتوزيع
MINI-20250401-0035,2025-04-01 08:52:12,92.36,credit,medium_basket,beverages,CLEANING SUPPLIES CO 902
MINI-20250401-0036,2025-04-01 08:56:53,15.19,mada,small_basket,groceries,NADEC FOODS SUPPLY 2214
MINI-20250401-0037,2025-04-01 08:59:32,126.74,mada,medium_basket,snacks,شركة أغذية الطازج للتوزيع
MINI-20250401-0038,2025-04-01 09:02:50,77.77,mada,medium_basket,beverages,
MINI-20250401-0039,2025-04-01 09:09:39,82.21,mada,medium_basket,groceries,
MINI-20250401-0040,2025-04-01 09:10:41,277.07,mada,large_basket,household,
MINI-20250401-0041,2025-04-01 09:30:34,31.8,cash,small_basket,groceries,
MINI-20250401-0042,2025-04-01 09:32:58,25.26,cash,small_basket,household,NADEC FOODS SUPPLY 2214
MINI-20250401-0043,2025-04-01 09:41:34,409.77,cash,large_basket,household,SADAD BILL PAYMENT 33120
MINI-20250401-0044,2025-04-01 09:42:35,380.09,mada,large_basket,beverages,POS PURCHASE 8891 AL NASEEM
MINI-20250401-0045,2025-04-01 09:44:12,26.32,mada,small_basket,groceries,PANDA RETAIL WHOLESALE 5521
MINI-20250401-0046,2025-04-01 09:50:45,162.34,mada,medium_basket,groceries,NADEC FOODS SUPPLY 2214
MINI-20250401-0047,2025-04-01 09:54:59,147.03,cash,medium_basket,household,POS PURCHASE 8891 AL NASEEM
MINI-20250401-0048,2025-04-01 09:58:32,157.09,cash,medium_basket,household,NADEC FOODS SUPPLY 2214
MINI-20250401-0049,2025-04-01 10:09:16,11.33,cash,small_basket,groceries,PANDA RETAIL WHOLESALE 5521
MINI-20250401-0050,2025-04-01 10:16:39,289.59,cash,large_basket,beverages,NADEC FOODS SUPPLY 2214
MINI-20250401-0051,2025-04-01 10:16:42,21.45,mada,small_basket,groceries,شركة أغذية الطازج للتوزيع
MINI-20250401-0052,2025-04-01 10:17:38,166.65,cash,medium_basket,snacks,شركة أغذية الطازج للتوزيع
MINI-20250401-0053,2025-04-01 10:28:32,228.23,cash,large_basket,beverages,ALMARAI DISTRIBUTION 8832
MINI-20250401-0054,2025-04-01 10:28:47,16.91,mada,small_basket,household,ALMARAI DISTRIBUTION 8832
MINI-20250401-0055,2025-04-01 10:32:42,17.46,cash,small_basket,groceries,شركة أغذية الطازج للتوزيع
MINI-20250401-0056,2025-04-01 10:39:28,174.68,cash,medium_basket,beverages,ALMARAI DISTRIBUTION 8832
MINI-20250401-0057,2025-04-01 10:45:47,26.61,mada,small_basket,personal_care,ALMARAI DISTRIBUTION 8832
MINI-20250401-0058,2025-04-01 10:59:10,67.63,cash,medium_basket,snacks,ALMARAI DISTRIBUTION 8832
MINI-20250401-0059,2025-04-01 11:05:58,109.93,cash,medium_basket,snacks,NADEC FOODS SUPPLY 2214
MINI-20250401-0060,2025-04-01 11:10:15,14.76,cash,small_basket,groceries,PANDA RETAIL WHOLESALE 5521
MINI-20250401-0061,2025-04-01 11:10:27,85.66,mada,medium_basket,beverages,
MINI-20250401-0062,2025-04-01 11:22:42,15.7,mada,small_basket,groceries,NADEC FOODS SUPPLY 2214
MINI-20250401-0063,2025-04-01 11:26:39,13.74,mada,small_basket,snacks,SEC ELECTRICITY BILL 22190
MINI-20250401-0064,2025-04-01 11:35:30,31.01,mada,small_basket,groceries,CLEANING SUPPLIES CO 902
MINI-20250401-0065,2025-04-01 11:39:26,16.21,cash,small_basket,snacks,GAZT ZATCA VAT PAYMENT
MINI-20250401-0066,2025-04-01 11:51:11,51.18,mada,medium_basket,snacks,NADEC FOODS SUPPLY 2214
MINI-20250401-0067,2025-04-01 11:55:01,30.28,mada,small_basket,groceries,ALMARAI DISTRIBUTION 8832
MINI-20250401-0068,2025-04-01 11:56:05,42.67,cash,small_basket,groceries,GAZT ZATCA VAT PAYMENT
MINI-20250401-0069,2025-04-01 12:04:42,26.25,mada,small_basket,beverages,مؤسسة العقار للإيجار
MINI-20250401-0070,2025-04-01 12:06:40,112.59,cash,medium_basket,personal_care,مؤسسة العقار للإيجار
MINI-20250401-0071,2025-04-01 12:08:10,151.7,mada,medium_basket,groceries,
MINI-20250401-0072,2025-04-01 12:26:34,45.77,mada,medium_basket,beverages,NADEC FOODS SUPPLY 2214
MINI-20250401-0073,2025-04-01 12:27:52,444.83,cash,large_basket,snacks,ALMARAI DISTRIBUTION 8832
MINI-20250401-0074,2025-04-01 12:28:47,72.2,mada,medium_basket,household,شركة أغذية الطازج للتوزيع
MINI-20250401-0075,2025-04-01 12:29:20,19.58,cash,small_basket,groceries,شركة أغذية الطازج للتوزيع
MINI-20250401-0076,2025-04-01 12:29:42,289.83,mada,large_basket,groceries,COCA COLA BOTTLING RIYADH 771
MINI-20250401-0077,2025-04-01 12:33:16,94.7,mada,medium_basket,household,NADEC FOODS SUPPLY 2214
MINI-20250401-0078,2025-04-01 12:34:04,39.3,cash,small_basket,snacks,ALMARAI DISTRIBUTION 8832
MINI-20250401-0079,2025-04-01 12:34:09,18.44,cash,small_basket,household,ALMARAI DISTRIBUTION 8832
MINI-20250401-0080,2025-04-01 12:36:14,32.77,mada,small_basket,snacks,SEC ELECTRICITY BILL 22190
MINI-20250401-0081,2025-04-01 12:39:16,62.1,mada,medium_basket,snacks,POS PURCHASE 8891 AL NASEEM
MINI-20250401-0082,2025-04-01 12:43:47,297.21,mada,large_basket,beverages,PANDA RETAIL WHOLESALE 5521
MINI-20250401-0083,2025-04-01 12:44:18,134.3,cash,medium_basket,personal_care,SEC ELECTRICITY BILL 22190
MINI-20250401-0084,2025-04-01 12:47:22,20.62,cash,small_basket,groceries,NADEC FOODS SUPPLY 2214
MINI-20250401-0085,2025-04-01 13:09:31,268.48,mada,large_basket,groceries,PANDA RETAIL WHOLESALE 5521
MINI-20250401-0086,2025-04-01 13:15:10,12.88,mada,small_basket,groceries,مؤسسة العقار للإيجار
MINI-20250401-0087,2025-04-01 13:19:46,17.96,mada,small_basket,beverages,POS PURCHASE 8891 AL NASEEM
MINI-20250401-0088,2025-04-01 13:25:03,385.67,cash,large_basket,snacks,ALMARAI DISTRIBUTION 8832
MINI-20250401-0089,2025-04-01 13:35:53,33.62,mada,small_basket,snacks,NADEC FOODS SUPPLY 2214
MINI-20250401-0090,2025-04-01 13:38:57,20.95,credit,small_basket,snacks,GAZT ZATCA VAT PAYMENT
MINI-20250401-0091,2025-04-01 13:46:39,9.73,cash,small_basket,groceries,SEC ELECTRICITY BILL 22190
MINI-20250401-0092,2025-04-01 13:48:41,429.65,mada,large_basket,groceries,
MINI-20250401-0093,2025-04-01 13:51:11,10.69,cash,small_basket,household,NADEC FOODS SUPPLY 2214
MINI-20250401-0094,2025-04-01 14:17:00,22.28,mada,small_basket,groceries,CLEANING SUPPLIES CO 902
MINI-20250401-0095,2025-04-01 14:17:21,160.53,mada,medium_basket,snacks,ALMARAI DISTRIBUTION 8832
MINI-20250401-0096,2025-04-01 14:21:50,38.68,mada,small_basket,snacks,COCA COLA BOTTLING RIYADH 771
MINI-20250401-0097,2025-04-01 14:28:21,369.11,mada,large_basket,beverages,PANDA RETAIL WHOLESALE 5521
MINI-20250401-0098,2025-04-01 14:28:34,107.38,cash,medium_basket,personal_care,شركة أغذية الطازج للتوزيع
MINI-20250401-0099,2025-04-01 14:34:48,13.61,mada,small_basket,household,ALMARAI DISTRIBUTION 8832
MINI-20250401-0100,2025-04-01 14:44:36,19.94,mada,small_basket,beverages,STC INVOICE 66120
MINI-20250401-0101,2025-04-01 14:47:42,397.25,mada,large_basket,personal_care,ALMARAI DISTRIBUTION 8832
MINI-20250401-0102,2025-04-01 14:50:12,115.52,mada,medium_basket,snacks,GAZT ZATCA VAT PAYMENT
MINI-20250401-0103,2025-04-01 14:51:16,240.64,cash,large_basket,groceries,SADAD BILL PAYMENT 33120
MINI-20250401-0104,2025-04-01 14:57:19,21.01,mada,small_basket,beverages,SEC ELECTRICITY BILL 22190
MINI-20250401-0105,2025-04-01 15:05:49,12.77,mada,small_basket,personal_care,CLEANING SUPPLIES CO 902
MINI-20250401-0106,2025-04-01 15:10:47,29.92,cash,small_basket,household,SEC ELECTRICITY BILL 22190
MINI-20250401-0107,2025-04-01 15:19:57,12.65,credit,small_basket,groceries,
MINI-20250401-0108,2025-04-01 15:22:17,36.63,cash,small_basket,snacks,
MINI-20250401-0109,2025-04-01 15:24:08,40.36,cash,small_basket,beverages,ALMARAI DISTRIBUTION 8832
MINI-20250401-0110,2025-04-01 15:24:29,28.16,mada,small_basket,snacks,شركة أغذية الطازج للتوزيع
MINI-20250401-0111,2025-04-01 15:29:49,125.49,cash,medium_basket,beverages,ALMARAI DISTRIBUTION 8832
MINI-20250401-0112,2025-04-01 15:31:07,17.58,credit,small_basket,snacks,COCA COLA BOTTLING RIYADH 771
MINI-20250401-0113,2025-04-01 15:35:18,206.41,mada,large_basket,groceries,ALMARAI DISTRIBUTION 8832
MINI-20250401-0114,2025-04-01 15:47:10,68.48,mada,medium_basket,groceries,NADEC FOODS SUPPLY 2214
MINI-20250401-0115,2025-04-01 15:51:42,344.26,cash,large_basket,household,مؤسسة العقار للإيجار
MINI-20250401-0116,2025-04-01 15:53:15,96.69,mada,medium_basket,groceries,NADEC FOODS SUPPLY 2214
MINI-20250401-0117,2025-04-01 16:01:57,33.58,mada,small_basket,beverages,SEC ELECTRICITY BILL 22190
MINI-20250401-0118,2025-04-01 16:05:04,80.98,mada,medium_basket,beverages,STC INVOICE 66120
MINI-20250401-0119,2025-04-01 16:07:39,13.63,mada,small_basket,personal_care,شركة أغذية الطازج للتوزيع
MINI-20250401-0120,2025-04-01 16:12:05,23.64,cash,small_basket,snacks,SADAD BILL PAYMENT 33120
MINI-20250401-0121,2025-04-01 16:13:41,52.8,mada,medium_basket,groceries,STC INVOICE 66120
MINI-20250401-0122,2025-04-01 16:16:30,12.72,mada,small_basket,groceries,ALMARAI DISTRIBUTION 8832
MINI-20250401-0123,2025-04-01 16:19:05,38.41,cash,small_basket,beverages,CLEANING SUPPLIES CO 902
MINI-20250401-0124,2025-04-01 16:26:26,95.31,mada,medium_basket,household,
MINI-20250401-0125,2025-04-01 16:34:52,28.32,mada,small_basket,beverages,ALMARAI DISTRIBUTION 8832
MINI-20250401-0126,2025-04-01 16:56:08,164.93,mada,medium_basket,beverages,ALMARAI DISTRIBUTION 8832
MINI-20250401-0127,2025-04-01 17:01:12,41.48,mada,small_basket,groceries,COCA COLA BOTTLING RIYADH 771
MINI-20250401-0128,2025-04-01 17:01:46,13.73,cash,small_basket,household,ALMARAI DISTRIBUTION 8832
MINI-20250401-0129,2025-04-01 17:12:30,40.07,mada,small_basket,snacks,ALMARAI DISTRIBUTION 8832
MINI-20250401-0130,2025-04-01 17:16:51,47.78,mada,medium_basket,personal_care,SADAD BILL PAYMENT 33120
MINI-20250401-0131,2025-04-01 17:17:39,44.52,cash,small_basket,personal_care,CLEANING SUPPLIES CO 902
MINI-20250401-0132,2025-04-01 17:24:44,11.99,cash,small_basket,household,COCA COLA BOTTLING RIYADH 771
MINI-20250401-0133,2025-04-01 17:27:00,39.6,cash,small_basket,beverages,COCA COLA BOTTLING RIYADH 771
MINI-20250401-0134,2025-04-01 17:30:51,113.95,mada,medium_basket,groceries,شركة أغذية الطازج للتوزيع
MINI-20250401-0135,2025-04-01 17:32:35,110.92,cash,medium_basket,household,COCA COLA BOTTLING RIYADH 771
MINI-20250401-0136,2025-04-01 17:42:35,9.09,cash,small_basket,beverages,SEC ELECTRICITY BILL 22190
MINI-20250401-0137,2025-04-01 17:44:19,8.78,mada,small_basket,groceries,SEC ELECTRICITY BILL 22190
MINI-20250401-0138,2025-04-01 17:46:51,16.56,mada,small_basket,household,مؤسسة العقار للإيجار
MINI-20250401-0139,2025-04-01 17:54:32,32.94,cash,small_basket,beverages,POS PURCHASE 8891 AL NASEEM
MINI-20250401-0140,2025-04-01 18:00:44,59.06,mada,medium_basket,household,PANDA RETAIL WHOLESALE 5521
MINI-20250401-0141,2025-04-01 18:02:06,346.2,mada,large_basket,groceries,SADAD BILL PAYMENT 33120
MINI-20250401-0142,2025-04-01 18:03:01,32.16,mada,small_basket,beverages,ALMARAI DISTRIBUTION 8832
MINI-20250401-0143,2025-04-01 18:09:42,77.1,cash,medium_basket,personal_care,PANDA RETAIL WHOLESALE 5521
MINI-20250401-0144,2025-04-01 18:09:59,186.44,mada,large_basket,snacks,شركة أغذية الطازج للتوزيع
MINI-20250401-0145,2025-04-01 18:12:56,26.05,mada,small_basket,personal_care,CLEANING SUPPLIES CO 902
MINI-20250401-0146,2025-04-01 18:16:18,11.17,cash,small_basket,groceries,STC INVOICE 66120
MINI-20250401-0147,2025-04-01 18:16:54,137.45,cash,medium_basket,personal_care,
MINI-20250401-0148,2025-04-01 18:18:03,70.31,mada,medium_basket,household,NADEC FOODS SUPPLY 2214
MINI-20250401-0149,2025-04-01 18:21:08,159.79,mada,medium_basket,groceries,PANDA RETAIL WHOLESALE 5521
MINI-20250401-0150,2025-04-01 18:22:39,66.01,mada,medium_basket,personal_care,SADAD BILL PAYMENT 33120
MINI-20250401-0151,2025-04-01 18:22:40,8.42,cash,small_basket,groceries,PANDA RETAIL WHOLESALE 5521
MINI-20250401-0152,2025-04-01 18:33:35,8.61,cash,small_basket,beverages,ALMARAI DISTRIBUTION 8832
MINI-20250401-0153,2025-04-01 18:36:17,9.87,mada,small_basket,personal_care,SEC ELECTRICITY BILL 22190
MINI-20250401-0154,2025-04-01 18:50:05,200.29,cash,large_basket,groceries,COCA COLA BOTTLING RIYADH 771
MINI-20250401-0155,2025-04-01 18:51:28,20.39,cash,small_basket,household,شركة أغذية الطازج للتوزيع
MINI-20250401-0156,2025-04-01 18:55:13,42.33,mada,small_basket,groceries,COCA COLA BOTTLING RIYADH 771
MINI-20250401-0157,2025-04-01 18:55:19,42.99,credit,small_basket,groceries,شركة أغذية الطازج للتوزيع
MINI-20250401-0158,2025-04-01 18:58:58,26.55,cash,small_basket,household,PANDA RETAIL WHOLESALE 5521
MINI-20250401-0159,2025-04-01 19:01:47,15.31,mada,small_basket,personal_care,CLEANING SUPPLIES CO 902
MINI-20250401-0160,2025-04-01 19:04:23,39.98,mada,small_basket,personal_care,شركة أغذية الطازج للتوزيع
MINI-20250401-0161,2025-04-01 19:05:54,38.02,cash,small_basket,groceries,NADEC FOODS SUPPLY 2214
MINI-20250401-0162,2025-04-01 19:10:35,15.26,cash,small_basket,groceries,
MINI-20250401-0163,2025-04-01 19:14:46,44.22,cash,small_basket,personal_care,PANDA RETAIL WHOLESALE 5521
MINI-20250401-0164,2025-04-01 19:14:58,95.49,cash,medium_basket,beverages,NADEC FOODS SUPPLY 2214
MINI-20250401-0165,2025-04-01 19:19:49,89.02,credit,medium_basket,snacks,شركة أغذية الطازج للتوزيع
MINI-20250401-0166,2025-04-01 19:21:52,15.54,cash,small_basket,groceries,PANDA RETAIL WHOLESALE 5521
MINI-20250401-0167,2025-04-01 19:24:17,27.7,mada,small_basket,snacks,POS PURCHASE 8891 AL NASEEM
MINI-20250401-0168,2025-04-01 19:24:30,438.35,mada,large_basket,groceries,PANDA RETAIL WHOLESALE 5521
MINI-20250401-0169,2025-04-01 19:26:58,151.98,mada,medium_basket,groceries,COCA COLA BOTTLING RIYADH 771
MINI-20250401-0170,2025-04-01 19:27:25,110.08,mada,medium_basket,beverages,شركة أغذية الطازج للتوزيع
MINI-20250401-0171,2025-04-01 19:29:04,127.98,mada,medium_basket,household,SADAD BILL PAYMENT 33120
MINI-20250401-0172,2025-04-01 19:34:33,41.0,mada,small_basket,groceries,ALMARAI DISTRIBUTION 8832
MINI-20250401-0173,2025-04-01 19:39:39,81.51,mada,medium_basket,groceries,مؤسسة العقار للإيجار
MINI-20250401-0174,2025-04-01 19:41:01,168.22,cash,medium_basket,beverages,PANDA RETAIL WHOLESALE 5521
MINI-20250401-0175,2025-04-01 19:43:18,175.47,mada,medium_basket,beverages,ALMARAI DISTRIBUTION 8832
MINI-20250401-0176,2025-04-01 19:47:20,8.62,mada,small_basket,groceries,ALMARAI DISTRIBUTION 8832
MINI-20250401-0177,2025-04-01 19:50:12,373.21,mada,large_basket,groceries,POS PURCHASE 8891 AL NASEEM
MINI-20250401-0178,2025-04-01 19:57:24,152.73,cash,medium_basket,groceries,NADEC FOODS SUPPLY 2214
MINI-20250401-0179,2025-04-01 19:59:55,163.98,mada,medium_basket,personal_care,NADEC FOODS SUPPLY 2214
MINI-20250401-0180,2025-04-01 20:04:58,14.43,cash,small_basket,beverages,CLEANING SUPPLIES CO 902
MINI-20250401-0181,2025-04-01 20:20:07,41.37,mada,small_basket,household,SADAD BILL PAYMENT 33120
MINI-20250401-0182,2025-04-01 20:23:28,40.33,mada,small_basket,groceries,
MINI-20250401-0183,2025-04-01 20:26:39,335.84,credit,large_basket,beverages,SADAD BILL PAYMENT 33120
MINI-20250401-0184,2025-04-01 20:34:45,138.7,credit,medium_basket,groceries,COCA COLA BOTTLING RIYADH 771
MINI-20250401-0185,2025-04-01 20:34:53,27.36,mada,small_basket,household,مؤسسة العقار للإيجار
MINI-20250401-0186,2025-04-01 20:36:50,399.09,mada,large_basket,personal_care,
MINI-20250401-0187,2025-04-01 20:41:23,61.12,cash,medium_basket,snacks,NADEC FOODS SUPPLY 2214
MINI-20250401-0188,2025-04-01 20:43:19,32.39,mada,small_basket,personal_care,شركة أغذية الطازج للتوزيع
MINI-20250401-0189,2025-04-01 20:45:01,30.52,cash,small_basket,beverages,ALMARAI DISTRIBUTION 8832
MINI-20250401-0190,2025-04-01 20:48:55,28.69,cash,small_basket,beverages,GAZT ZATCA VAT PAYMENT
MINI-20250401-0191,2025-04-01 20:51:17,70.86,cash,medium_basket,household,CLEANING SUPPLIES CO 902
