date,total_kwh,peak_hour_kwh,off_peak_kwh,energy_efficiency_score
2025-04-01,135.88,83.26,52.62,0.1086
2025-04-02,93.04,58.27,34.77,0.3586
2025-04-03,116.74,72.33,44.41,0.2558
2025-04-04,128.22,86.43,41.79,0.3319
2025-04-05,105.83,67.25,38.58,0.1362
2025-04-06,102.38,67.21,35.17,0.0
2025-04-07,126.14,79.35,46.79,0.0
2025-04-08,118.99,70.52,48.47,0.0
2025-04-09,95.52,54.87,40.65,0.4191
2025-04-10,115.22,65.23,49.99,0.0
2025-04-11,108.72,61.57,47.15,0.3175
2025-04-12,119.41,78.62,40.79,0.0
2025-04-13,91.99,53.08,38.91,0.0
2025-04-14,94.79,64.64,30.15,0.0
2025-04-15,119.33,77.66,41.67,0.0
2025-04-16,83.84,46.58,37.26,0.0
2025-04-17,125.24,69.03,56.21,0.351
2025-04-18,92.39,61.79,30.6,0.5616
2025-04-19,137.42,78.31,59.11,0.0
2025-04-20,124.24,69.77,54.47,0.1982
2025-04-21,117.57,68.59,48.98,0.0
2025-04-22,120.92,82.71,38.21,0.0
2025-04-23,116.65,64.75,51.9,0.9072
2025-04-24,106.9,74.07,32.83,0.0
2025-04-25,145.7,94.27,51.43,0.0
2025-04-26,102.24,60.32,41.92,0.0303
2025-04-27,100.61,62.61,38.0,0.1864
2025-04-28,88.15,58.71,29.44,0.4758
2025-04-29,108.03,71.51,36.52,0.0
2025-04-30,127.28,79.06,48.22,0.0
2025-05-01,129.21,74.42,54.79,0.3256
2025-05-02,96.61,60.2,36.41,0.5822
2025-05-03,86.31,49.49,36.82,0.0
2025-05-04,99.85,62.99,36.86,0.0566
2025-05-05,96.9,65.94,30.96,0.2221
2025-05-06,116.79,77.34,39.45,0.0
2025-05-07,93.76,58.02,35.74,0.0
2025-05-08,133.11,92.23,40.88,0.0
2025-05-09,116.58,73.87,42.71,0.4065
2025-05-10,109.66,66.66,43.0,0.0
2025-05-11,102.99,61.2,41.79,0.1636
2025-05-12,138.75,83.17,55.58,0.0
2025-05-13,111.18,71.82,39.36,0.0
2025-05-14,106.5,66.8,39.7,0.0
2025-05-15,113.15,62.79,50.36,0.1868
2025-05-16,116.27,69.92,46.35,0.2595
2025-05-17,113.51,73.6,39.91,0.0
2025-05-18,104.23,62.65,41.58,0.3521
2025-05-19,140.5,88.66,51.84,0.0
2025-05-20,124.27,84.32,39.95,0.0
2025-05-21,123.25,72.84,50.41,0.0
2025-05-22,119.78,81.29,38.49,0.4451
2025-05-23,117.37,72.51,44.86,0.9468
2025-05-24,115.6,77.42,38.18,0.0
2025-05-25,84.87,48.86,36.01,0.0
2025-05-26,118.8,74.56,44.24,0.0
2025-05-27,92.65,57.81,34.84,0.263
2025-05-28,138.85,95.23,43.62,0.0
2025-05-29,93.21,52.04,41.17,0.4368
2025-05-30,110.04,66.24,43.8,0.5895
2025-05-31,136.82,89.84,46.98,0.1014
2025-06-01,114.08,70.84,43.24,0.2763
2025-06-02,90.38,58.8,31.58,0.4586
2025-06-03,82.28,52.23,30.05,0.0
2025-06-04,141.19,87.24,53.95,0.0
2025-06-05,126.37,72.23,54.14,0.0
2025-06-06,106.36,63.95,42.41,0.0
2025-06-07,112.48,67.54,44.94,0.0
2025-06-08,132.25,86.35,45.9,0.0
2025-06-09,109.3,65.45,43.85,0.0
2025-06-10,95.09,66.43,28.66,0.1089
2025-06-11,134.18,83.01,51.17,0.0
2025-06-12,148.94,95.47,53.47,0.2725
2025-06-13,114.66,66.55,48.11,0.0
2025-06-14,94.11,63.33,30.78,0.0
2025-06-15,115.94,80.73,35.21,0.1629
2025-06-16,100.02,56.94,43.08,0.299
2025-06-17,97.99,63.98,34.01,0.0
2025-06-18,87.69,60.23,27.46,0.0
2025-06-19,126.77,71.99,54.78,0.4037
2025-06-20,87.21,54.05,33.16,0.8878
2025-06-21,139.33,82.78,56.55,0.0
2025-06-22,121.01,82.25,38.76,0.0
2025-06-23,133.51,77.26,56.25,0.0
2025-06-24,97.65,58.44,39.21,0.0
2025-06-25,136.32,87.28,49.04,0.0
2025-06-26,130.28,74.45,55.83,0.0403
2025-06-27,110.21,70.41,39.8,0.4474
2025-06-28,96.82,55.82,41.0,0.0
2025-06-29,85.06,50.39,34.67,0.0
