date,total_kwh,peak_hour_kwh,off_peak_kwh,energy_efficiency_score
2025-04-01,21.9,15.06,6.84,0.7648
2025-04-02,15.67,10.25,5.42,0.6523
2025-04-03,22.12,15.44,6.68,0.6591
2025-04-04,4.88,1.46,3.42,0.2747
2025-04-05,4.87,1.46,3.41,0.9274
2025-04-06,17.56,12.71,4.85,0.6875
2025-04-07,31.07,23.22,7.85,0.6435
2025-04-08,21.67,15.43,6.24,0.6726
2025-04-09,17.39,11.55,5.84,0.7327
2025-04-10,18.14,13.41,4.73,0.61
2025-04-11,2.06,0.62,1.44,0.2845
2025-04-12,2.22,0.67,1.55,0.2935
2025-04-13,25.42,16.81,8.61,0.7541
2025-04-14,22.59,13.6,8.99,0.6136
2025-04-15,32.08,21.48,10.6,0.6353
2025-04-16,21.1,14.24,6.86,0.7777
2025-04-17,17.14,11.41,5.73,0.6177
2025-04-18,3.96,1.19,2.77,0.2137
2025-04-19,3.93,1.18,2.75,0.2316
2025-04-20,33.76,25.04,8.72,0.7781
2025-04-21,34.05,20.59,13.46,0.6308
2025-04-22,23.73,14.41,9.32,0.7985
2025-04-23,15.78,10.04,5.74,0.7114
2025-04-24,34.34,25.59,8.75,0.675
2025-04-25,2.54,0.76,1.78,0.2802
2025-04-26,5.12,1.54,3.58,0.1528
2025-04-27,18.23,12.67,5.56,0.7515
2025-04-28,32.03,21.32,10.71,0.7426
2025-04-29,22.26,16.06,6.2,0.7358
2025-04-30,17.83,10.74,7.09,0.7433
2025-05-01,30.9,21.58,9.32,0.6551
2025-05-02,2.14,0.64,1.5,0.1621
2025-05-03,2.84,0.85,1.99,0.1221
2025-05-04,33.74,24.76,8.98,0.7532
2025-05-05,26.34,16.06,10.28,0.7177
2025-05-06,28.07,18.91,9.16,0.6589
2025-05-07,33.28,21.37,11.91,0.6355
2025-05-08,20.88,12.9,7.98,0.6144
2025-05-09,3.52,1.06,2.46,0.1821
2025-05-10,2.15,0.64,1.51,0.1826
2025-05-11,28.6,20.66,7.94,0.6616
2025-05-12,25.77,18.43,7.34,0.8992
2025-05-13,31.44,21.11,10.33,0.6865
2025-05-14,18.79,12.38,6.41,0.6874
2025-05-15,17.4,13.02,4.38,0.7397
2025-05-16,4.42,1.33,3.09,0.2474
2025-05-17,2.93,0.88,2.05,0.2872
2025-05-18,32.8,22.79,10.01,0.7174
2025-05-19,16.13,10.35,5.78,0.7896
2025-05-20,16.14,11.58,4.56,0.6274
2025-05-21,23.61,15.86,7.75,0.6683
2025-05-22,17.31,11.77,5.54,0.7579
2025-05-23,5.87,1.76,4.11,0.1791
2025-05-24,2.77,0.83,1.94,0.1093
2025-05-25,29.54,21.47,8.07,0.7896
2025-05-26,17.57,12.18,5.39,0.6702
2025-05-27,26.54,19.86,6.68,0.7477
2025-05-28,26.67,18.2,8.47,0.6225
2025-05-29,20.13,12.28,7.85,0.6893
2025-05-30,2.12,0.64,1.48,0.2289
2025-05-31,2.6,0.78,1.82,0.2886
2025-06-01,21.06,12.74,8.32,0.748
2025-06-02,19.38,14.37,5.01,0.7492
2025-06-03,31.32,21.11,10.21,0.6126
2025-06-04,28.49,21.34,7.15,0.7998
2025-06-05,21.87,13.59,8.28,0.8653
2025-06-06,3.53,1.06,2.47,0.1478
2025-06-07,5.13,1.54,3.59,0.2489
2025-06-08,31.68,20.47,11.21,0.7582
2025-06-09,23.31,14.36,8.95,0.7515
2025-06-10,19.23,14.06,5.17,0.6355
2025-06-11,27.45,18.94,8.51,0.6963
2025-06-12,18.53,13.26,5.27,0.6154
2025-06-13,2.52,0.76,1.76,0.1959
2025-06-14,3.75,1.12,2.63,0.1775
2025-06-15,33.85,22.14,11.71,0.6841
2025-06-16,34.98,21.04,13.94,0.7598
2025-06-17,33.19,20.81,12.38,0.6952
2025-06-18,24.44,18.16,6.28,0.7993
2025-06-19,31.16,21.49,9.67,0.7564
2025-06-20,4.55,1.36,3.19,0.1736
2025-06-21,4.49,1.35,3.14,0.2258
2025-06-22,21.23,13.89,7.34,0.7855
2025-06-23,18.83,13.03,5.8,0.6314
2025-06-24,34.37,23.16,11.21,0.7699
2025-06-25,33.04,21.17,11.87,0.6751
2025-06-26,21.51,15.87,5.64,0.6159
2025-06-27,5.46,1.64,3.82,0.1244
2025-06-28,4.2,1.26,2.94,0.1831
2025-06-29,20.91,13.66,7.25,0.6279
