date,total_kwh,peak_hour_kwh,off_peak_kwh,energy_efficiency_score
2025-06-01,29.29,21.05,8.24,0.743
2025-06-02,27.41,18.72,8.69,0.7939
2025-06-03,33.73,22.45,11.28,0.6568
2025-06-04,25.18,17.93,7.25,0.6802
2025-06-05,25.74,16.6,9.14,0.9462
2025-06-06,2.86,0.86,2.0,0.2977
2025-06-07,2.86,0.86,2.0,0.1638
2025-06-08,16.74,11.93,4.81,0.6035
2025-06-09,30.76,21.12,9.64,0.7498
2025-06-10,30.66,18.97,11.69,0.6043
2025-06-11,18.38,12.09,6.29,0.6147
2025-06-12,24.13,15.51,8.62,0.6728
2025-06-13,5.76,1.73,4.03,0.2449
2025-06-14,4.63,1.39,3.24,0.2307
2025-06-15,26.11,17.68,8.43,0.7764
2025-06-16,16.5,10.61,5.89,0.6208
2025-06-17,15.22,9.16,6.06,0.6048
2025-06-18,28.63,17.66,10.97,0.6405
2025-06-19,23.38,14.97,8.41,0.7633
2025-06-20,4.49,1.35,3.14,0.1667
2025-06-21,3.27,0.98,2.29,0.2367
2025-06-22,18.41,11.82,6.59,0.6707
2025-06-23,24.09,15.14,8.95,0.6314
2025-06-24,34.8,25.65,9.15,0.7047
2025-06-25,30.31,21.25,9.06,0.615
2025-06-26,25.36,15.92,9.44,0.7168
2025-06-27,2.25,0.67,1.58,0.1326
2025-06-28,5.13,1.54,3.59,0.2686
2025-06-29,33.15,24.35,8.8,0.7814
2025-06-30,16.89,11.8,5.09,0.7402
